Region	SampleID	Chip	input	filtered	percentage.of.input.passed.filter	denoised	non.chimeric	percentage.of.input.non.chimeric
v2	atcc1	chip1	95474	92640	97.03	92388	90832	95.14
v2	atcc2	chip1	100993	98203	97.24	97915	96139	95.19
v2	atcc3	chip2	26403	25894	98.07	25733	25285	95.77
v2	atcc4	chip3	43997	43252	98.31	43069	42409	96.39
v2	atcc5	chip3	59372	58284	98.17	58108	57023	96.04
v3	atcc1	chip1	604186	596869	98.79	596376	584444	96.73
v3	atcc2	chip1	441924	436473	98.77	436008	427821	96.81
v3	atcc3	chip2	21472	21291	99.16	21230	21058	98.07
v3	atcc4	chip3	102474	101736	99.28	101528	98334	95.96
v3	atcc5	chip3	49006	48602	99.18	48507	47715	97.37
v4	atcc1	chip1	137231	131117	95.54	130653	128256	93.46
v4	atcc2	chip1	159393	152671	95.78	152133	149013	93.49
v4	atcc3	chip2	18413	18045	98	17829	16994	92.29
v4	atcc4	chip3	67972	66812	98.29	66502	63044	92.75
v4	atcc5	chip3	48479	47536	98.05	47351	45660	94.19
v67	atcc1	chip1	440252	425616	96.68	425094	386924	87.89
v67	atcc2	chip1	307706	298657	97.06	298091	271714	88.3
v67	atcc3	chip2	19427	19095	98.29	18896	16162	83.19
v67	atcc4	chip3	74480	73412	98.57	73029	58435	78.46
v67	atcc5	chip3	45997	45252	98.38	44911	37198	80.87
v8	atcc1	chip1	152056	142444	93.68	142083	135937	89.4
v8	atcc2	chip1	175053	164032	93.7	163522	155587	88.88
v8	atcc3	chip2	16065	15575	96.95	15352	14262	88.78
v8	atcc4	chip3	67105	65101	97.01	64664	60173	89.67
v8	atcc5	chip3	36274	35151	96.9	34904	33230	91.61
v9	atcc1	chip1	187438	185601	99.02	185552	182813	97.53
v9	atcc2	chip1	137349	136398	99.31	136347	134358	97.82
v9	atcc3	chip2	11781	11726	99.53	11719	11394	96.72
v9	atcc4	chip3	44266	44140	99.72	44123	42402	95.79
v9	atcc5	chip3	27447	27372	99.73	27355	26488	96.51
