# Constructed from biom file
#OTU ID	atcc1	atcc2	atcc3	atcc4	atcc5	taxonomy
3b54c21dc458aad6bef0b895a008a999	0.0	0.0	0.0	0.0	63.0	Unassigned
AHVT01000016	496.0	581.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_aureus
JX029051	14932.0	17342.0	1597.0	6350.0	3591.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Pectobacterium; s__Pectobacterium_carotovorum
f02dde18f93a28b0bbed70663db3e93e	0.0	0.0	6.0	0.0	0.0	Unassigned
f90d515ed40349312ef6becf7f934222	0.0	0.0	0.0	89.0	0.0	Unassigned
U16122	302.0	348.0	12.0	14.0	10.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii
ALZP01000053	5901.0	6865.0	536.0	1969.0	1192.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus_faecalis
HM216570	279.0	309.0	19.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_epidermidis
EU239122	9790.0	11522.0	1123.0	4696.0	2587.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas_aeruginosa
05d7d7145b7fb932e49cd17a55814db5	0.0	0.0	0.0	0.0	6.0	Unassigned
Y11332	8086.0	8706.0	950.0	3898.0	2274.0	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus_radiodurans
6d83c34c7d5ac72f2cda59a12d2f98bc	0.0	2.0	0.0	0.0	0.0	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus_radiodurans
9d7393d1cc1a683bf6257db3c38311ed	0.0	0.0	0.0	30.0	0.0	Unassigned
7acd47b748c9f1cd32e0a6e17e6d253e	0.0	0.0	0.0	52.0	0.0	Unassigned
