Region	SampleID	Actinomyces.odontolyticus	Bifidobacterium.adolescentis	Propionibacterium.acnes	Bacteroides.vulgatus	Porphyromonas.gingivalis	Deinococcus.radiodurans	Bacillus.cereus	Staphylococcus.aureus	Staphylococcus.epidermidis	Enterococcus.faecalis	Lactobacillus.gasseri	Streptococcus.agalactiae	Streptococcus.mutans	Clostridium.beijerinckii	Rhodobacter.sphaeroides	Neisseria.meningitidis	Helicobacter.pylori	Escherichia.coli	Acinetobacter.baumannii	Pseudomonas.aeruginosa	Unassigned	Enterobacteriaceae.unassigned	Bifidobacterium.unassigned	Staphylococcus.capitis	Staphylococcus.unassigned	Enterococcus.unassigned	Lactobacillus.johnsonii	unassigned	Streptococcus.dysgalactiae	Clostridium.butyricum	Clostridium.sensu.stricto.1.unassigned	Enterobacter.cloacae	Enterobacter.unassigned	Pectobacterium.carotovorum
Expected	Expected	2	4	4	6	4	6	11	5	4	4	5	6	4	12	3	4	2	6	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v2	atcc1	1.923330985	5.340628853	1.242954025	10.70437731	3.5494099	11.82953144	5.079707592	3.120045799	3.640787388	1.660207856	4.773648054	2.886647877	1.784613352	0	3.782807821	5.261361635	4.485203453	5.544301568	6.608904351	5.385767131	0.089175621	0	0	0	0	0	0	0	0	0	9.154262815	1.148273736	1.004051436	0
v2	atcc2	1.946221459	5.364331409	1.221199355	11.81047485	3.899724346	10.17631456	5.848026213	3.177822853	3.86331721	2.120975711	4.232589588	2.935455349	1.868206168	0	3.546055027	5.066833099	4.857752119	5.133406148	6.243303688	5.143808186	0.049929786	0	0	0	0	0	0	0	0	0	9.536589171	1.047485307	0.910178395	0
v2	atcc3	1.443543603	5.27585525	1.348625667	15.81965592	2.491595808	8.8827368	5.129523433	3.144156615	3.306308088	1.961637334	4.710302551	1.12319557	0.217520269	0	3.227209808	5.283765078	7.035791972	5.833498121	5.983784853	4.904093336	1.356535495	0	0	0	0	0	0	0	0	0	9.606486059	1.016412893	0.897765474	0
v2	atcc4	1.662382985	5.597868377	1.43365795	12.55393902	1.834516258	8.415666486	5.26303379	3.305902049	3.084250984	2.129265015	4.29625787	1.150699144	0.228725035	0	4.109976656	5.147492278	5.767643661	5.73227381	6.342993233	5.522412695	3.81051192	0	0	0	0	0	0	0	0	0	10.55672145	1.098823363	0.95498597	0
v2	atcc5	1.792259264	5.262788699	1.525700156	14.65548989	2.497237957	10.11346299	4.689335882	3.207477684	3.321466777	1.965873419	4.242147905	1.359100714	0.259544394	0	4.066780071	4.950633955	6.358837662	5.976535784	5.98004314	5.041825228	0.959262052	0	0	0	0	0	0	0	0	0	9.771495712	0.994335619	1.008365046	0
v3	atcc1	0.29933817	0	0.330144843	8.628606734	5.857204226	0	9.874052053	5.493000895	5.34102131	3.261399753	7.347220297	6.117862907	5.365153203	0	3.991004452	3.658463534	2.283116745	6.156542396	5.218308063	5.781214433	0.854542872	0	0.497698913	0	0.002567223	0	0	0	0	0	13.64153698	0	0	0
v3	atcc2	0.294287457	0	0.326077048	9.155168263	5.561308329	0	10.07472891	5.343689883	5.10573545	3.438651934	6.999086049	6.058020677	5.222608944	0	4.231755463	3.596898645	2.230180009	6.41705605	5.451914738	5.779861762	0.78445489	0	0.520554541	0	0.00467494	0	0	0	0	0	13.40328602	0	0	0
v3	atcc3	0.337356267	0	0.24707783	7.445595363	5.858595458	0	10.70987361	5.687541576	5.716050556	3.373562672	7.336310938	6.305236149	5.625772118	0	4.04352371	4.575691343	2.199942982	6.808894802	7.170008553	4.993823054	0.85526941	0	0.479901169	0	0	0	0	0	0	0	10.22997244	0	0	0
v3	atcc4	0.204405394	0	0.203388452	7.573168995	5.679622511	0	10.16942258	5.451827445	5.445725792	3.47692558	7.0077491	6.769784612	5.713181606	0	4.336241788	4.38200419	2.227103545	6.54402343	6.085382472	5.501657616	0.774910001	0	0.295930197	0	0	0	0	0	0	0	12.15754469	0	0	0
v3	atcc5	0.230535471	0	0.251493241	8.154668343	6.199308394	0	10.63397255	5.208005868	5.367284921	3.512522268	7.345698418	6.281043697	5.405008907	0	3.900241014	4.419993713	2.248768731	6.654092005	6.369066331	5.843026302	0.924237661	0	0.358377869	0	0	0	0	0	0	0	10.6926543	0	0	0
v4	atcc1	1.755220436	4.020398297	0.240943187	12.52982549	8.254448482	2.042168957	8.217800165	9.626810973	0	0	0	5.85671288	4.62236639	0	3.048828034	5.208739454	3.150195718	4.467975609	6.163934938	2.681565117	0.01091652	0	0	0	0.394554216	1.727929136	0	5.96119957	0	0	10.01746643	0	0	0
v4	atcc2	1.840280807	3.604051034	0.227518305	12.03766468	7.926227693	1.929543151	8.703414117	10.03295324	0	0	0	5.58594353	4.52821831	0	2.957737971	4.857079578	3.509419526	4.283250223	5.748360727	2.494647615	0.017449782	0	0	0	0.376512594	1.897999315	0	6.328230391	0	0	11.11349741	0	0	0
v4	atcc3	1.041911938	5.374381917	0.09418413	13.75676948	7.946785967	1.1596421	5.603955733	8.882740758	0	0	0	5.439133506	4.821050153	0	4.385448552	7.199199435	3.037438192	4.791617612	7.946785967	2.907935013	0	0	0	0	0.47092065	1.60113021	0	5.727572404	0	0	7.81139628	0	0	0
v4	atcc4	1.557642282	3.919484804	0.123723114	11.56335258	7.183871582	0.929509549	6.34160269	0	0	0	0	5.228094664	5.126578263	0	4.412791067	6.614428019	2.196878371	5.231267052	7.148975319	2.966182349	1.698813527	0	0	0	11.65376562	1.917708267	0	5.51678193	0	0	8.66854895	0	0	0
v4	atcc5	1.335961454	4.159001314	0.159877354	12.49890495	7.531756461	1.298729742	5.99868594	0	0	0	0	5.194918966	4.947437582	0	4.321068769	6.377573368	2.586508979	5.056942619	7.069645204	2.897503285	1.226456417	0	0	0	11.36224266	1.758650898	0	5.328515112	0	0	8.889618922	0	0	0
v67	atcc1	1.165219189	0	2.342069892	15.0966708	9.200527295	3.333333333	7.636993383	2.997311828	2.361455749	1.655552109	0	3.283447064	2.437189826	19.57299421	2.47570306	0	3.622570306	8.166873449	0.144230769	1.799265922	0.488782051	0	3.725444582	0.475341191	0	0	7.315705128	0	0	0	0.703318859	0	0	0
v67	atcc2	1.160411315	0	2.225869848	14.20353754	8.541333903	3.311570254	7.826243771	3.022295502	2.4275525	1.567824992	0	3.360150747	2.393325335	21.3084346	2.512936396	0	4.081865491	7.930765437	0.193585903	1.583282422	0.452681864	0	3.774557071	0.449737592	0	0	6.958419515	0	0	0	0.713617995	0	0	0
v67	atcc3	0.898166501	0	2.062685828	21.01709613	9.086967294	2.880327056	5.940287413	3.208622398	2.329038652	1.368929633	0	2.527254708	1.697224975	18.70044599	2.836967294	0	2.149405352	8.994053518	0.086719524	2.137016848	3.474975223	0	2.613974232	0.359266601	0	0	5.630574827	0	0	0	0	0	0	0
v67	atcc4	0.74270557	0	1.290322581	20.61093523	7.964404894	3.894925986	7.139556772	3.331907247	3.071789167	1.748951827	0	3.535552323	2.253786258	19.22649097	3.492769744	0	1.411825105	8.337468983	0.034226063	2.609737315	0.219046804	0	2.166509797	0.557884829	0	0	5.582270899	0	0	0	0.776931633	0	0	0
v67	atcc5	0.865637938	0	1.949029518	21.91784505	9.352653368	3.043174364	6.382063552	2.422173235	2.263562557	1.330716705	0	2.604978762	1.682886177	20.8720899	3.029732781	0	2.134523361	8.013871714	0.083337814	1.87644497	0.857572988	0	2.900693586	0.478520351	0	0	5.196515942	0	0	0	0.741975375	0	0	0
v8	atcc1	1.449028803	5.848632336	5.314584967	0	0.015533234	5.981034661	1.906149681	3.170259035	0.496323801	4.364838676	0	0	8.503335947	0.223382694	12.05452905	7.92490791	0.787756853	0	10.69500126	7.241445626	0.057694868	1.182744796	0	0	0	0	0	0	11.73794695	0	0	0	0	11.04486886
v8	atcc2	1.470153379	5.863257094	5.56948355	0	0.005785475	5.597768092	1.981203636	3.212224065	0.52840668	4.41303146	0.010285288	0	8.339440223	0.223705018	11.7541559	8.273228681	0.662115427	0	11.15825202	7.406693151	0.035998509	1.216235327	0	0	0	0	0	0	11.1306103	0	0	0	0	11.14796673
v8	atcc3	1.641414141	5.997474747	7.035634119	0	0	6.663860831	0.820707071	1.557239057	0.133277217	3.759820426	0	0	8.115881033	0.084175084	13.11026936	9.792368126	0.364758698	0	10.55695847	7.877384961	0.042087542	2.069304153	0	0	0	0	0	0	9.175084175	0	0	0	0	11.20230079
v8	atcc4	1.59872368	5.756734748	6.120685357	0	0	6.477988467	0.668073721	1.061938079	0	3.272231732	0	0	7.202565935	0.023266249	14.77739185	9.984544563	0.314094361	0	11.15782826	7.804164659	1.422564938	1.839695545	0	0	0	0	0	0	8.098316521	0.80600934	0	0	0	11.61318199
v8	atcc5	1.55883238	5.795967499	6.163105627	0	0	6.843213963	0.671080349	1.405356605	0	3.587120072	0	0	7.971712308	0.030093289	12.72344267	9.380078243	0.409268733	0	10.92988264	7.785133915	0.94793861	1.901895877	0	0	0	0	0	0	8.66385796	1.333132711	0	0	0	11.89888655
v9	atcc1	0	0	0	0	0	0	0	0.009901589	0	0	0	0	0	0	0	0	0	53.96531143	45.8031014	0	0.221685581	0	0	0	0	0	0	0	0	0	0	0	0	0
v9	atcc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.05131068	42.61674035	0	0.331948972	0	0	0	0	0	0	0	0	0	0	0	0	0
v9	atcc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.77348551	48.22651449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v9	atcc4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.9621716	48.01660299	0	0.021225414	0	0	0	0	0	0	0	0	0	0	0	0	0
v9	atcc5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.88100272	46.06236786	0	0.056629417	0	0	0	0	0	0	0	0	0	0	0	0	0
