Taxa	Result
Actinomyces.odontolyticus	TP
Bifidobacterium.adolescentis	TP
Propionibacterium.acnes	TP
Bacteroides.vulgatus	TP
Porphyromonas.gingivalis	TP
Deinococcus.radiodurans	TP
Bacillus.cereus	TP
Staphylococcus.aureus	TP
Staphylococcus.epidermidis	TP
Enterococcus.faecalis	TP
Lactobacillus.gasseri	TP
Streptococcus.agalactiae	TP
Streptococcus.mutans	TP
Clostridium.beijerinckii	TP
Rhodobacter.sphaeroides	TP
Neisseria.meningitidis	TP
Helicobacter.pylori	TP
Escherichia.coli	TP
Acinetobacter.baumannii	TP
Pseudomonas.aeruginosa	TP
Unassigned	FN
Enterobacteriaceae.unassigned	FP
Bifidobacterium.unassigned	FP
Staphylococcus.capitis	FP
Staphylococcus.unassigned	FP
Enterococcus.unassigned	FP
Lactobacillus.johnsonii	FP
unassigned	FP
Streptococcus.dysgalactiae	FP
Clostridium.butyricum	FP
Clostridium.sensu.stricto.1.unassigned	FP
Enterobacter.cloacae	FP
Enterobacter.unassigned	FP
Pectobacterium.carotovorum	FP
