Region	SampleID	Unassigned; p__unassigned; c__unassigned; o__unassigned; f__unassigned; g__unassigned; s__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Actinomyces_odontolyticus	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium_adolescentis	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionibacterium; s__Propionibacterium_acnes	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_vulgatus	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas_gingivalis	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus_radiodurans	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_cereus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_aureus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_capitis	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_epidermidis	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__unassigned	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus_faecalis	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__unassigned	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_gasseri	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_johnsonii	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__unassigned	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_agalactiae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_dysgalactiae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_mutans	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto_1; s__Clostridium_butyricum	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto_1; s__unassigned	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__Rhodobacter_sphaeroides	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__Neisseria_meningitidis	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__Helicobacter_pylori	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter; s__Enterobacter_cloacae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter; s__unassigned	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__EscherichiaShigella; s__Escherichia_coli	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Pectobacterium; s__Pectobacterium_carotovorum	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unassigned; s__unassigned	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter_baumannii	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas_aeruginosa
v2	atcc1	0.0891756209265457	1.923330984675	5.34062885326757	0	1.24295402501321	10.7043773119605	3.54940989959486	11.8295314426634	5.07970759203805	3.12004579883741	0	3.64078738770477	0	1.66020785626211	0	4.77364805354941	0	0	2.88664787740004	0	1.7846133521226	0	0	9.15426281486701	3.78280782103224	5.2613616346662	4.48520345252774	1.14827373612824	1.0040514356174	5.54430156772943	0	0	6.60890435088955	5.38576713052669
v2	atcc2	0.0499297862381027	1.94622145940604	5.36433140895616	0	1.22119935507359	11.8104748530712	3.89972434597181	10.1763145576533	5.84802621313777	3.17782285327924	0	3.86331721017319	0	2.1209757112394	0	4.23258958755916	0	0	2.93545534924845	0	1.86820616840901	0	0	9.53658917147761	3.54605502678525	5.06683309928746	4.85775211941541	1.0474853071202	0.910178394965413	5.13340614760493	0	0	6.24330368752275	5.14380818640454
v2	atcc3	1.35653549535298	1.44354360292664	5.27585525014831	0	1.34862566739173	15.8196559224837	2.49159580779118	8.88273680047459	5.12952343286534	3.14415661459363	0	3.30630808779909	0	1.96163733438798	0	4.71030255091952	0	0	1.12319557049634	0	0.217520268934151	0	0	9.60648605892822	3.22720980818667	5.28376507810955	7.03579197152462	1.01641289301958	0.897765473600949	5.83349812141586	0	0	5.98378485267945	4.90409333596994
v2	atcc4	3.8105119196397	1.6623829847438	5.59786837699545	0	1.43365794996345	12.5539390223773	1.83451625834139	8.41566648588743	5.26303378999741	3.30590204909335	0	3.08425098446085	0	2.12926501450164	0	4.29625786979179	0	0	1.15069914404961	0	0.228725034780353	0	0	10.5567214506355	4.10997665589851	5.14749227758259	5.76764366054375	1.09882336296541	0.954985969959207	5.73227380980452	0	0	6.34299323256856	5.52241269541843
v2	atcc5	0.959262052154394	1.79225926380583	5.26278869929677	0	1.52570015607737	14.6554898900444	2.497237956614	10.1134629886186	4.68933588201252	3.20747768444312	0	3.32146677656384	0	1.9658734194974	0	4.24214790523122	0	0	1.35910071374708	0	0.259544394367185	0	0	9.77149571225646	4.06678007119934	4.95063395472003	6.35883766199604	0.99433561896077	1.00836504568332	5.97653578380653	0	0	5.98004314048717	5.0418252284166
v3	atcc1	0.854542871763802	0.299338169980951	0	0.497698912695601	0.330144842706263	8.62860673399636	5.85720422599091	0	9.87405205300801	5.49300089510499	0	5.34102130966012	0.00256722272710936	3.26139975251973	0	7.34722029680518	0	0	6.11786290688341	0	5.36515320329494	0	0	13.6415369791319	3.99100445156421	3.65846353431264	2.28311674530926	0	0	6.15654239597186	0	0	5.21830806330429	5.78121443326847
v3	atcc2	0.784454890337601	0.294287457370393	0	0.520554541353348	0.326077047682048	9.15516826276901	5.56130832863891	0	10.0747289119311	5.34368988319663	0	5.10573544983439	0.00467493975171395	3.4386519343732	0	6.99908604927854	0	0	6.05802067725852	0	5.22260894362724	0	0	13.4032860151515	4.23175546325147	3.59689864496871	2.23018000855514	0	0	6.41705605019015	0	0	5.45191473844881	5.77986176203154
v3	atcc3	0.855269409864107	0.337356267224176	0	0.479901168868194	0.247077829516298	7.4455953625392	5.85859545756913	0	10.7098736101872	5.68754157559631	0	5.71605055592512	0	3.37356267224176	0	7.33631093794545	0	0	6.30523614938706	0	5.62577211821724	0	0	10.229972441319	4.04352370996864	4.57569134277297	2.19994298203934	0	0	6.80889480186259	0	0	7.1700085526941	4.99382305426209
v3	atcc4	0.774910000610165	0.204405393861737	0	0.29593019708341	0.203388451603718	7.57316899546444	5.67962251103382	0	10.1694225801859	5.45182744523766	0	5.44572579168955	0	3.47692558016556	0	7.0077491000061	0	0	6.76978461162975	0	5.71318160554844	0	0	12.1575446946122	4.33624178819127	4.3820041898021	2.22710354506071	0	0	6.54402343034962	0	0	6.08538247198324	5.50165761588057
v3	atcc5	0.924237661112858	0.230535471025883	0	0.358377868594781	0.251493241119145	8.15466834328827	6.19930839358692	0	10.6339725453212	5.20800586817563	0	5.36728492088442	0	3.51252226763072	0	7.34569841768836	0	0	6.28104369695064	0	5.40500890705229	0	0	10.6926543015823	3.90024101435607	4.41999371266897	2.24876873100702	0	0	6.65409200461071	0	0	6.36906633134234	5.84302630200147
v4	atcc1	0.0109165198134835	1.75522043572509	4.02039829702291	0	0.240943187311885	12.5298254916333	8.25444848182399	2.04216895653666	8.2178001653073	9.62681097266192	0	0	0.394554216115902	0	1.72792913619138	0	0	5.96119956957722	5.85671287993388	0	4.622366389595	0	0	10.0174664317016	3.04882803362288	5.20873945386211	3.15019571760523	0	0	4.46797560937573	0	0	6.16393493754191	2.68156511704069
v4	atcc2	0.017449781542158	1.84028080725374	3.60405103389956	0	0.227518305491983	12.0376646823133	7.92622769280331	1.92954315129632	8.70341411687327	10.0329532412969	0	0	0.376512594044255	0	1.89799931543165	0	0	6.32823039080799	5.58594352982235	0	4.52821831019	0	0	11.1134974060229	2.95773797139578	4.85707957771529	3.50941952630555	0	0	4.28325022315586	0	0	5.7483607272532	2.49464761508467
