# Constructed from biom file
#OTU ID	atcc1	atcc2	atcc3	atcc4	atcc5
AY366421	13340.0	9541.0	463.0	2190.0	1073.0
f0bccabde4d9d6698461ff045d4b4793	0.0	6.0	0.0	0.0	0.0
AY568492	30490.0	23324.0	1509.0	5984.0	3039.0
AB686281	57693.0	43101.0	2254.0	10000.0	5074.0
FJ611793	2908.0	2227.0	101.0	291.0	171.0
AF414809	34223.0	23792.0	1233.0	5585.0	2958.0
HM216570	26845.0	18788.0	990.0	4631.0	2178.0
55f82d0c00f8233e7a6ae504a1c9c3dc	15.0	0.0	0.0	0.0	0.0
da6081e4e62f61468f6ea348a2fc0ef7	0.0	11.0	0.0	0.0	0.0
KF318815	33779.0	24727.0	1051.0	5410.0	2788.0
EU156766	31348.0	22343.0	1184.0	5618.0	2579.0
AJ867050	50416.0	39167.0	1567.0	7447.0	3891.0
JQ904752	35972.0	27453.0	1433.0	6435.0	3175.0
JBMS01000011	32095.0	22861.0	1197.0	5361.0	2485.0
JN700236	1929.0	1395.0	52.0	200.0	120.0
KF372582	79706.0	57341.0	2153.0	11955.0	5102.0
97feb4f035f7d1f624fbab3b6cfb4b3c	226.0	0.0	0.0	0.0	0.0
daa183941ea13fb0dc0ea70af8a449a8	4741.0	3339.0	180.0	762.0	441.0
AJ234037	1749.0	1259.0	71.0	201.0	110.0
ANDZ01000001	35746.0	25917.0	1327.0	6657.0	2997.0
AF468821	23319.0	18104.0	851.0	4264.0	1861.0
10e91475c7fdbee9c9ed85edae567b31	11.0	0.0	0.0	0.0	0.0
AOAJ01000017	4362.0	3055.0	213.0	724.0	383.0
AB233334	15.0	20.0	0.0	0.0	0.0
ALZP01000053	19056.0	14711.0	710.0	3419.0	1676.0
AB976552	42929.0	29943.0	1544.0	6891.0	3505.0
AJ239308	21376.0	15388.0	963.0	4309.0	2109.0
