Region	SampleID	input	filtered	percentage.of.input.passed.filter	denoised	non.chimeric	percentage.of.input.non.chimeric
v2	Patient1-fresh	111822	108521	97.05	108106	106576	95.31
v2	Patient1-frozen	79114	77248	97.64	76782	75769	95.77
v2	Patient2-fresh	88540	85904	97.02	85344	84391	95.31
v2	Patient2-frozen	54400	53015	97.45	52593	52191	95.94
v2	Patient3-fresh	82785	80480	97.22	80065	77759	93.93
v2	Patient3-frozen	25811	25114	97.3	24816	24088	93.32
v3	Patient1-fresh	321596	316906	98.54	316696	295685	91.94
v3	Patient1-frozen	430312	424863	98.73	424533	398444	92.59
v3	Patient2-fresh	587974	579134	98.5	578945	567426	96.51
v3	Patient2-frozen	505366	498496	98.64	497772	481324	95.24
v3	Patient3-fresh	402194	396586	98.61	396450	374479	93.11
v3	Patient3-frozen	237764	235679	99.12	235482	228671	96.18
v4	Patient1-fresh	199080	188742	94.81	188247	185647	93.25
v4	Patient1-frozen	131598	124729	94.78	124256	123057	93.51
v4	Patient2-fresh	173799	164898	94.88	164182	162523	93.51
v4	Patient2-frozen	94409	89681	94.99	89133	88644	93.89
v4	Patient3-fresh	160258	152456	95.13	151667	149800	93.47
v4	Patient3-frozen	61810	59083	95.59	58634	58158	94.09
v67	Patient1-fresh	244615	235947	96.46	234882	228321	93.34
v67	Patient1-frozen	328103	317053	96.63	315706	306627	93.45
v67	Patient2-fresh	415292	401025	96.56	398957	377291	90.85
v67	Patient2-frozen	289996	279078	96.24	277549	265709	91.63
v67	Patient3-fresh	262463	253230	96.48	251740	244094	93
v67	Patient3-frozen	255330	247083	96.77	246267	236001	92.43
v8	Patient1-fresh	143579	132026	91.95	131459	128963	89.82
v8	Patient1-frozen	97560	90531	92.8	90067	88319	90.53
v8	Patient2-fresh	185803	171818	92.47	171007	167074	89.92
v8	Patient2-frozen	107012	98599	92.14	98003	96603	90.27
v8	Patient3-fresh	179654	166679	92.78	165917	153601	85.5
v8	Patient3-frozen	86281	80889	93.75	80219	77149	89.42
v9	Patient1-fresh	213	178	83.57	135	130	61.03
v9	Patient1-frozen	268	215	80.22	146	146	54.48
v9	Patient2-fresh	15427	15221	98.66	15142	15142	98.15
v9	Patient2-frozen	7060	6967	98.68	6922	6922	98.05
v9	Patient3-fresh	93595	93010	99.37	92960	92626	98.96
v9	Patient3-frozen	55656	55314	99.39	55245	54777	98.42
