#OTUID	taxonomy	confidence
009e6ec5e620cd1b9def53f2f7edd1c5	Unassigned	1.0
01705d9f5c2c3be96817b5b63f25e728	Unassigned	1.0
05fdfe768f359a0890152a96b2dde079	Unassigned	1.0
067248311c2eec1c6df65a1c3ae6a508	Unassigned	1.0
06de8e593ed6ffe13760c0e38d76a692	Unassigned	1.0
0767c6d365e9bc3130abf115002bbb41	Unassigned	1.0
0854fcffdc0e44473a9b80e86f2ae14b	Unassigned	1.0
09a080b3d572a7fef7b05c7ef41da3fc	Unassigned	1.0
0a3b3846ad78496bf5c74c1210e08361	Unassigned	1.0
0a7009d6aa7f3ac4355c71eb3b31aa75	Unassigned	1.0
0b05d51db6e390416eb378ed2815a2a5	Unassigned	1.0
0b957dc09c92ccdc0431f4a573657684	Unassigned	1.0
0c2539f28a066c05f7fe6b90a7a0cd46	Unassigned	1.0
0d54b79f4b571c6a0919c94cba50456d	Unassigned	1.0
0d9a67bf8c2b6a00ab9cf889dc8b7e09	Unassigned	1.0
0e0369260e68d8f172570241a7df9cd1	Unassigned	1.0
10e91475c7fdbee9c9ed85edae567b31	Unassigned	1.0
11a8a0a02033488b8eeb233c29e6b665	Unassigned	1.0
14b8ffa7f211daa672926759540a99ee	Unassigned	1.0
15b2d82b52957626e3aa330a078de4ff	Unassigned	1.0
17a7c0c07b1ce0f7ae12ad63dcb19d49	Unassigned	1.0
17f05052fefbc584011e8c073a5096fc	Unassigned	1.0
18706f6054ef0f3b54b6cfab00f62188	Unassigned	1.0
1927aca6ccb47941281c5c5f8d7ecce1	Unassigned	1.0
1a46dd88796255a104a21a9fd0257be8	Unassigned	1.0
1b0f6b70f70e5ba5adb2706879ba2924	Unassigned	1.0
1b4d6a894df8535356dac40dd6a3c62d	Unassigned	1.0
1ca3934c4f647a9c964b3aec1311d5ff	Unassigned	1.0
1d13380d7a66d3a48426f147238b35ea	Unassigned	1.0
215d49571219964489264cfa22a49368	Unassigned	1.0
22c74dbba92f69d461373c1e648d515e	Unassigned	1.0
2496db644c536203b81214497029f8f8	Unassigned	1.0
259fdc492f4a150eea9e764b0fb623ac	Unassigned	1.0
25a7e3cbcc97efc9f5fbe2b88ca7b555	Unassigned	1.0
28460b3ee5a389bbfb2fc68779423975	Unassigned	1.0
2a99fc0ee98194551607f90b15e781da	Unassigned	1.0
2bc29eba68bc2f99fdf3f0523d650ea8	Unassigned	1.0
2c3d4081008e9b8b960082b1055a0e78	Unassigned	1.0
2e0c2a470ddeb0a14ccf4dfb47fc386b	Unassigned	1.0
2edf0a85c15a984719c3d12c832875ec	Unassigned	1.0
2eec5550fdc003ca3d99168cec178aa2	Unassigned	1.0
2f63101bd7808c0aaba0871aeb729b56	Unassigned	1.0
3053a4257a6266818e8fb53fa7232d09	Unassigned	1.0
310bd11e52e2c692d5cdc79436a090f9	Unassigned	1.0
31a228ee4182912e08b849eff4e8db1d	Unassigned	1.0
3297c7dc64d8f0ef9ee59800e4c0ec69	Unassigned	1.0
344bff991e225794e9ce8a51fb523504	Unassigned	1.0
3b86feea78a858664247660a35c665d2	Unassigned	1.0
3c1ff7ab607cb6bb66b683111754fade	Unassigned	1.0
3dfe0514ca3dda5a071acfe9b70e8f3c	Unassigned	1.0
3ef7e3a3d1a87a43b6fb20ee15b1f39c	Unassigned	1.0
40584a08dfdc4dd5bf4861aab6fc1bd8	Unassigned	1.0
406935c066ca8da385283513246fcb56	Unassigned	1.0
4111de9f14a7c6a89815d18be1d16c5f	Unassigned	1.0
4160ab9ba50bde8be78bcd5a93007858	Unassigned	1.0
4369f5bbf8bfabed975e45a416e076ae	Unassigned	1.0
438023619f4376c5684ba69e079e92ee	Unassigned	1.0
45de1e40c575457ec20623598096e225	Unassigned	1.0
4680e537add68d3c1929f7dd8becbae6	Unassigned	1.0
46eadebb8381772ae9f1875f81937306	Unassigned	1.0
46f4e59a0a57b21d745f50b30ae1f443	Unassigned	1.0
4a001c62d7f44392019f514f76c62fda	Unassigned	1.0
4b0511066a98ad483626dcce44cd692a	Unassigned	1.0
4b5d6e9c414610889c40dd823b00ddbd	Unassigned	1.0
4bcc298575958cc638672a44a2779d19	Unassigned	1.0
4cb26cc6ebe1f22460f4157601b99879	Unassigned	1.0
4f1e9c31d030e211f90704d05aadd3ef	Unassigned	1.0
5084a95029e24b7166152f7f801d5f7f	Unassigned	1.0
50c213f7dc27e617e49bb04122a752b5	Unassigned	1.0
51eb7dd836ce4eff7fbeeac8c7ea2a75	Unassigned	1.0
5593f1fe8d7618f8eebdd1789b214ad2	Unassigned	1.0
55d69ace07c981217ec86ae7d3fcf237	Unassigned	1.0
55f82d0c00f8233e7a6ae504a1c9c3dc	Unassigned	1.0
574a0bb4ff6207a07a6b236f860e4968	Unassigned	1.0
576859321516961ddededb5ef9560c33	Unassigned	1.0
58b76e37988e41e0a97014bf4f041b60	Unassigned	1.0
59fb66184d53b3da4e0b995f4f1c09d8	Unassigned	1.0
5a2a4b48ff0712233165c276e72d325a	Unassigned	1.0
5b74262e82101ff4b91d2eba769bf42c	Unassigned	1.0
5dbccbc834e91272b9e0f2a9d7ea19b0	Unassigned	1.0
5f3a94615a471504f7ed09fd49bcda5c	Unassigned	1.0
6335702626bfb80e0a6e874e9bb26552	Unassigned	1.0
6936e46fde0343a2257ff5768f88fe4d	Unassigned	1.0
6bc212907bf9b2f522ac4e7778228d04	Unassigned	1.0
6eea9ea9e458dc924f5e1c84e8b1c6f0	Unassigned	1.0
6f71752c315746c2401f656741dedbd9	Unassigned	1.0
716d5ec2d59c02b99353454639c25bb1	Unassigned	1.0
763744e741d2530808961a6dc0a9a8e6	Unassigned	1.0
7b4507fab97e2a5965c18060cec0f771	Unassigned	1.0
7c88e43bf8aa2dbbdda35e087634429a	Unassigned	1.0
7ca716ae5ae3cdb60c0a437fabeaf913	Unassigned	1.0
7d23fb54e0a2b9567933734e37622fc7	Unassigned	1.0
7d5205a133261d022a15696a9ad758f1	Unassigned	1.0
7e288f8815736bb4ca9040c9aa431248	Unassigned	1.0
8006c555c6050e0e2a00ff3d58efa608	Unassigned	1.0
80275701179d8265c273549c13417d8e	Unassigned	1.0
835311cc17cb2376096a1341f8284af9	Unassigned	1.0
843f057db41d523246bd327f9f25523f	Unassigned	1.0
85817080f01f71d666ce600252ee04f9	Unassigned	1.0
85df2a8882602c8543824919ada9e274	Unassigned	1.0
89bb84cf9bb02097f392cd7dd587246b	Unassigned	1.0
8b4d5d61e6ebe7817341a357831f7e7e	Unassigned	1.0
8ca5d919daeb91dda012c0d053fcfe71	Unassigned	1.0
8dbaa579c12a63773ca524fc3642dc69	Unassigned	1.0
8dc3ddd6c7307178c4a46ddce76db5d2	Unassigned	1.0
8f697c270c4a7bd423d0c8d5fce3953e	Unassigned	1.0
904a6d8f036c1002d9d6a02d9454881c	Unassigned	1.0
96f3a241ae9f6c8c310895f7a674f052	Unassigned	1.0
971defeab0e2529c670d3452174c16fb	Unassigned	1.0
97b0e372457a5099dc9898d0c126fa63	Unassigned	1.0
99e4accf6cda107118f2c806214e893b	Unassigned	1.0
9a4bfe7c043aa960205c72648382029b	Unassigned	1.0
9b2ba125a40b8f8b4ee3144e0e7f3dae	Unassigned	1.0
9b78d9dc96969f3f870134e65959c298	Unassigned	1.0
9bce4a7827da38f070159d859ef7fef9	Unassigned	1.0
9bd642295a67d0672b6d2f6c139b975e	Unassigned	1.0
9e302fa5e9591f4bb9a173a2d533c900	Unassigned	1.0
9ee4447e3ef4bfe6b86274382fb77d4b	Unassigned	1.0
