Region	SampleID	Unassigned; p__unassigned; c__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria	k__Bacteria; p__Actinobacteria; c__Coriobacteriia	k__Bacteria; p__Bacteroidetes; c__Bacteroidia	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia	k__Bacteria; p__Firmicutes; c__Bacilli	k__Bacteria; p__Firmicutes; c__Clostridia	k__Bacteria; p__Firmicutes; c__Erysipelotrichia	k__Bacteria; p__Firmicutes; c__Negativicutes	k__Bacteria; p__Firmicutes; c__unassigned	k__Bacteria; p__Fusobacteria; c__Fusobacteriia	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	k__Bacteria; p__Proteobacteria; c__unassigned	k__Bacteria; p__Synergistetes; c__Synergistia	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae	k__Bacteria; p__unassigned; c__unassigned
v2	Patient1-fresh	38.2778486713707	1.12971025371566	0.696216784266627	25.5066806785768	0	1.00773157183606	27.7351373667617	1.56226542561177	2.21532052244408	0.297440324275634	0.617399789821348	0	0.0459765800930791	0	0.853850773157184	0.0262723314817595	0.0103212730821198	0	0	0.0178276535054797
v2	Patient1-frozen	40.747535271681	2.3545249376394	0.76152516200557	17.7724399160607	0	1.04528237141839	30.2735947419129	1.27360793992266	2.36112394250947	0.393300690255909	1.6603096253085	0	0.0343148253243411	0	1.29604455648088	0.0263960194802624	0	0	0	0
v2	Patient2-fresh	14.7231339834817	7.78993020582763	0.105461482859547	29.8136057162494	0	0.66120794871491	30.2769252645424	0.208553044755957	0.476354113590312	0.0154044862603832	0	0	0.188408716569302	0	15.1852685712931	0.470429311182472	0	0.0651728264862367	0	0.020144328186655
v2	Patient2-frozen	18.0222643750838	6.56435017531758	0.132206702304995	27.5373148627158	0	0.831560997106781	36.4507290529018	0.203100151367094	0.538407005039183	0.0134122741468836	0	0	0.174359563909486	0.11113027150275	8.86551321109003	0.442605046847158	0	0.0938859190281849	0	0.0191603916384051
v2	Patient3-fresh	19.9102354711352	1.08926297920498	0.254632904229736	18.8274026157744	0	1.21014930747566	43.5280803508276	0.329222340822284	0.459110842474826	0.0887357090497563	0.0977378824316156	0	0.0398667678339485	0.307359919752054	1.10598130119986	12.1645082884296	0	0.212194086858113	0	0.375519232500418
v2	Patient3-frozen	35.8518764530057	0.452507472600465	0.215875124543341	23.737960810362	0	0.535536366655596	25.0498173364331	1.2329790767187	0.647625373630023	0	0.0332115576220525	0	0	0.5064762537363	3.80687479242776	7.3397542344736	0	0	0	0.589505147791431
v3	Patient1-fresh	19.9749733669276	0.361533388572298	0.378781473527572	19.4020663882172	0	3.12731454081201	46.9746520790706	2.60276983952517	6.38348242217224	0	0.00507296616331569	0	0	0	0.744035037286301	0	0	0.00946953683818929	0.0358489608874309	0
v3	Patient1-frozen	18.2823684131271	0.368433205168104	0.448494644165805	13.8852636756985	0	3.96668038670428	50.3087008462921	2.74793948459507	8.79671923783518	0	0.00376464446697654	0	0.00100390519119374	0	1.13566774753792	0	0	0.0175683408458905	0.037395468371967	0
v3	Patient2-fresh	11.5444128397359	1.30677832880411	0.227166185546662	24.9595541973755	0	3.00779308667562	40.8395103502483	0.982859438940056	1.66911632530057	0	0	0	0.190156954387004	0.0897033269536468	11.2127396347718	3.96051643738567	0	0.00969289387514848	0	0
v3	Patient2-frozen	12.6613258428834	1.26525999119096	0.267802976789024	21.2409935926735	0	3.11266423448654	51.7996193832013	0.305823104603136	1.45847703418072	0	0	0	0.20921458310826	0.0812342621602081	7.52237578013978	0.0654444823029809	0	0.00976473228012732	0	0
