Region	SampleID	Unassigned; p__unassigned; c__unassigned; o__unassigned; f__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Dermabacteraceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Dermacoccaceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Family_XI	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Family_XI	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Family_XIII	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__unassigned	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Acidaminococcaceae	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae	k__Bacteria; p__Firmicutes; c__unassigned; o__unassigned; f__unassigned	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae	k__Bacteria; p__Proteobacteria; c__unassigned; o__unassigned; f__unassigned	k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Synergistaceae	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae	k__Bacteria; p__unassigned; c__unassigned; o__unassigned; f__unassigned
v2	Patient1-fresh	38.2778486713707	0.137929740279237	0	0.970199669719261	0	0	0	0.00562978531751989	0	0.0159510583996397	0.696216784266627	22.8484837111545	2.46490767152079	0.00562978531751989	0.187659510583996	0	0	0	0.149189310914277	0.00562978531751989	0	0	0	0.00469148776459991	0.848220987839664	0	0	0	10.7566431466747	0	14.2405419606666	0	0	0.612708302056748	2.12524395736376	1.56226542561177	1.46186758744933	0.753452934994746	0.297440324275634	0.617399789821348	0	0.0262723314817595	0.0197042486113196	0	0	0.853850773157184	0	0.0187659510583996	0.00750638042335986	0	0	0.0103212730821198	0	0	0.0178276535054797
v2	Patient1-frozen	40.747535271681	0.149137510063482	0	2.15391518958941	0	0	0	0	0	0.0514722379865116	0.76152516200557	15.1222795602423	2.50366244770289	0	0.146497908115456	0	0.00527920389605247	0	0.232284971426309	0.0211168155842099	0	0	0	0	0.786601380511819	0	0	0	15.1473557787486	0.00659900487006559	13.0224762105874	0	0	0.485686758436828	1.61147698927002	1.27360793992266	1.37259301297364	0.988530929535826	0.393300690255909	1.6603096253085	0	0.0184772136361837	0.0158376116881574	0	0	1.29604455648088	0	0.0263960194802624	0	0	0	0	0	0	0
v2	Patient2-fresh	14.7231339834817	4.70192319086159	0.00829472337097558	3.07971229159507	0	0	0	0	0	0	0.105461482859547	3.40439146354469	1.12452749700797	25.0583593037172	0.226327451979477	0	0	0	0.110201324785818	0.00947968385254352	0	0	0.0699126684125084	0.00473984192627176	0.466874429737768	0	0	0	23.7572726949556	0	4.57987226126009	0	0.00710976288940764	1.60206657107985	0.330603974357455	0.208553044755957	0.311644606652368	0.164709506937944	0.0154044862603832	0	0	0.182483914161463	0.0059248024078397	0	0	15.1852685712931	0	0.470429311182472	0	0	0	0	0.0651728264862367	0	0.020144328186655
v2	Patient2-frozen	18.0222643750838	2.30499511410013	0	4.24594278707057	0	0	0.00383207832768102	0	0	0.00958019581920254	0.132206702304995	3.43737425992987	0.94077522944569	22.9349887911709	0.22417658216934	0	0	0	0.166695407254124	0.0114962349830431	0	0	0.0459849399321722	0	0.607384414937441	0	0	0	28.7233431051331	0	5.33808511045966	0	0	1.95052786878964	0.438772968519477	0.203100151367094	0.266329443773831	0.272077561265352	0.0134122741468836	0	0	0.174359563909486	0	0	0.11113027150275	8.86551321109003	0	0.442605046847158	0	0	0	0	0.0938859190281849	0	0.0191603916384051
v2	Patient3-fresh	19.9102354711352	0.201905888707416	0.0244344706079039	0.850062372201289	0	0	0	0	0	0.0128602476883705	0.254632904229736	12.1542200902789	3.19834360009774	2.98486348847079	0.489975436926915	0	1.00952944353708	0	0.0398667678339485	0	0	0.0334366439897632	0	0	0.127316452114868	0	0.104168006275801	0	34.8268367648761	0	8.03765480523155	0	0.0205763963013928	0.538844378142723	0	0.329222340822284	0.25720495376741	0.201905888707416	0.0887357090497563	0.0977378824316156	0	0.00643012384418524	0.00643012384418524	0.027006520145578	0.307359919752054	1.10598130119986	11.7131135945678	0.0115742229195334	0	0.43982047094227	0	0	0.212194086858113	0	0.375519232500418
v2	Patient3-frozen	35.8518764530057	0.215875124543341	0	0.236632348057124	0	0	0	0	0	0	0.215875124543341	16.1200597808037	5.12703420790435	1.94287612089007	0.547990700763866	0	0.5064762537363	0	0	0	0	0.0290601129192959	0	0	0	0	0.0788774493523746	0	14.6919628030555	0	9.54001992693457	0	0	0.597808037196945	0.141149119893723	1.2329790767187	0.51893058784457	0.128694785785453	0	0.0332115576220525	0	0	0	0	0.5064762537363	3.80687479242776	6.84573231484557	0	0	0.494021919628031	0	0	0	0	0.589505147791431
v3	Patient1-fresh	19.9749733669276	0.0104841300708524	0	0.285100698378342	0.0595228029829041	0	0	0.00202918646532628	0.0043965706748736	0	0.378781473527572	17.161844530497	1.80969612932682	0.0378781473527572	0.392647581040634	0	0.00541116390753674	0	0.238429409675837	0.0226592488628101	0.00845494360552615	0	0.00304377969798941	0.0233356443512522	2.82598035071106	0	0	0	14.031486209987	0.00913133909396824	30.9707966247865	0	0	1.96323790520317	0	2.60276983952517	1.80597595414039	4.57750646803186	0	0.00507296616331569	0	0	0	0	0	0.744035037286301	0	0	0	0	0	0	0.00946953683818929	0.0358489608874309	0
v3	Patient1-frozen	18.2823684131271	0.0185722460370843	0	0.262772183794962	0.0790575338065073	0	0	0.00175683408458905	0.0062744074449609	0	0.448494644165805	12.0114746363353	1.55279035447892	0.0125488148899218	0.308449869994278	0	0.00878417042294526	0	0.417624559536597	0.027607392757828	0.00878417042294526	0	0.00577245484936403	0.0190741986326811	3.47903344008192	0	0	0	23.2627420666392	0.0100390519119374	25.1274959592816	0	0.00326269187137967	1.90516107658793	0	2.74793948459507	1.9578660991256	6.83885313870958	0	0.00376464446697654	0	0	0.00100390519119374	0	0	1.13566774753792	0	0	0	0	0	0	0.0175683408458905	0.037395468371967	0
v3	Patient2-fresh	11.5444128397359	0.458209528643383	0	0.820547525139842	0.0223817731298883	0	0.00563950189099548	0	0	0	0.227166185546662	4.89773115789548	1.03343872152492	18.4399375425166	0.588446775438559	0	0	0	0.232100749701283	0.0174472089752673	0.00370092311596578	0	0.241441174708244	0.00669690849555713	2.5064061216793	0	0	0	31.0338264372799	0.0556900811735803	5.66188366412537	0	0.0192095533162033	4.06890061435324	0	0.982859438940056	0.453098730054668	1.2160175952459	0	0	0	0.190156954387004	0	0	0.0897033269536468	11.2127396347718	0	3.96051643738567	0	0	0	0	0.00969289387514848	0	0
v3	Patient2-frozen	12.6613258428834	0.198826570044295	0	0.992678528392517	0.0469538190491228	0.0180751427312995	0.00872593097373079	0	0	0	0.267802976789024	4.68748701498367	1.11754244542138	14.8667010163632	0.569263115905295	0	0	0	0.317457679234777	0.0199449850828132	0.00810265018989288	0	0.191554960899519	0.0089336912350101	2.56667026784453	0.00249312313535166	0	0	39.31239663927	0.0590039142033225	7.55312429880912	0	0.02389243004712	4.84870897773641	0	0.305823104603136	0.421545570135709	1.03693146404501	0	0	0	0.20921458310826	0	0	0.0812342621602081	7.52237578013978	0.0043629654868654	0.0610815168161155	0	0	0	0	0.00976473228012732	0	0
v3	Patient3-fresh	6.6185286758403	0	0	0.122837328661954	0.0106815068401699	0	0	0	0.00507371574908072	0	0.416578766766628	9.73485829645988	4.56367379746261	4.68784631447958	1.06734957100398	0	1.22516883456749	0	0.0931961471804827	0.00694297944611046	0	0.0694297944611046	0	0	0.532206078311467	0	0.147938869736354	0	46.7169053538383	0	9.74180127590599	0	0.0210959760093356	1.03957765321954	0	0.590153252919389	0.443282533867053	2.37369785755677	0	0	0	0.0093463184851487	0	0	0.265969520320232	0.682815324757864	8.4472026468774	0	0	0.322047431231124	0	0	0.0245674657323909	0.0192267123123059	0
v3	Patient3-frozen	12.1991857297165	0	0	0	0	0	0	0	0	0	0.296058529503085	14.5855836551202	6.29244635305745	3.56363509146328	1.06353669682644	0	0.595178225485523	0	0.0196789273672656	0.00349847597640278	0	0.0498532826637396	0.00131192849115104	0	0.12550782565345	0	0	0	28.2738082222932	0	10.9900249703723	0	0	0.797652522619834	0	1.75011260719549	0.681328196404441	1.80040319935628	0	0	0	0	0	0	0.487162779714087	2.2600154807562	7.30350591023785	6.56926326469032	0	0.291248125035531	0	0	0	0	0
v4	Patient1-fresh	19.2693660549322	0.468092670498311	0	1.01536787559185	0	0	0	0	0	0	1.12956309555231	24.5514336348015	4.50101536787559	0.0210076112191417	0.287642676692863	0	0	0	0.833301911692621	0	0	0	0	0.0113117906564609	2.07975351069503	0	0	0.0113117906564609	16.5771598786945	0	17.6851767063298	0	0	0.448162372675023	0	0	0.0565589532823046	1.76410068570998	0	8.72731581980856	0.00107731339585342	0.0495564162092574	0.0263941781984088	0	0	0.460012820029411	0	0.0177756710315814	0.00754119377097395	0	0	0	0	0	0
v4	Patient1-frozen	20.6798475503222	0.466450506675768	0	2.23717464264528	0	0	0	0	0	0	1.39528836230365	15.1344498890758	5.56733871295416	0.00650105235785043	0.217785253987989	0	0.00650105235785043	0	0.288484198379613	0.0154399993498948	0	0	0	0.0243789463419391	2.6166735740348	0	0	0.0105642100815069	21.0146517467515	0	17.52602452522	0	0.00325052617892521	0.468075769765231	0	0.00325052617892521	0.0422568403260278	2.63780199419781	0	8.87799962618949	0	0.0170652624393574	0.0227536832524765	0	0	0.705364180826771	0	0.0146273678051635	0	0	0	0	0	0	0
v4	Patient2-fresh	6.72950905410311	8.26467638426561	0.00861416537966934	2.60393913476862	0	0.00984476043390782	0.00369178516271543	0	0	0.00123059505423848	0.622681097444669	4.23632347421596	1.38257354343693	24.7201934495425	0.433784756619063	0	0	0	0.152593786725571	0.00553767774407315	0	0	0.0726051082000701	0	1.52839905736419	0	0	0	29.5736603434591	0.015382438177981	7.64261058434806	0	0.0104600579610271	0.319954714102004	0	0	0.00492238021695391	1.62315487654055	0	0.00553767774407315	0	0.189511638352725	0	0	0.0769121908899048	9.52542101733293	0	0.236274250413788	0	0	0	0	0	0	0
