# Constructed from biom file
#OTU ID	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
AF542227	10537.0	8820.0	16861.0	12349.0	26263.0	3871.0
AB050111	28656.0	11901.0	0.0	0.0	3499.0	2273.0
L16465	0.0	0.0	36137.0	14549.0	0.0	0.0
AF542229	3204.0	2911.0	6115.0	2869.0	12663.0	9185.0
DQ174182	0.0	0.0	15330.0	5374.0	0.0	0.0
DQ986463	3101.0	2555.0	7943.0	4379.0	2333.0	1005.0
HG324078	13257.0	7047.0	0.0	0.0	0.0	0.0
DQ911241	3354.0	3017.0	2204.0	1669.0	5757.0	169.0
EU483154	4907.0	3947.0	1087.0	1231.0	2358.0	2329.0
AJ576075	0.0	0.0	10751.0	2229.0	97.0	0.0
EU483153	217.0	108.0	6898.0	3790.0	1597.0	140.0
EF036467	5569.0	3046.0	1933.0	1340.0	257.0	76.0
FR798912	2152.0	1792.0	2931.0	2035.0	1847.0	1395.0
JGEI01000020	0.0	0.0	635.0	438.0	8127.0	2475.0
AZJF01000012	225.0	116.0	0.0	0.0	9533.0	1648.0
JMGV01000069	0.0	0.0	0.0	0.0	8902.0	1450.0
X83951	3405.0	1490.0	810.0	375.0	1970.0	1207.0
AB547668	4372.0	4681.0	57.0	60.0	0.0	0.0
FJ792537	0.0	0.0	227.0	248.0	8116.0	5024.0
AJ438042	1476.0	2547.0	2299.0	1735.0	529.0	35.0
JQ780835	563.0	353.0	2399.0	2115.0	1549.0	1064.0
JX101687	4304.0	3583.0	0.0	0.0	0.0	0.0
AY850119	1436.0	1423.0	1356.0	779.0	2257.0	1140.0
AB698913	2943.0	2001.0	1440.0	990.0	73.0	0.0
AY033434	3827.0	1721.0	281.0	148.0	333.0	287.0
KF148833	3553.0	2931.0	113.0	62.0	53.0	0.0
AY895199	732.0	481.0	212.0	123.0	2703.0	2228.0
JNHQ01000190	3432.0	1881.0	749.0	397.0	0.0	199.0
AJ133124	2725.0	2060.0	781.0	446.0	31.0	0.0
DQ518919	0.0	0.0	3709.0	3122.0	2448.0	1416.0
CELS01000805	4442.0	1461.0	0.0	0.0	0.0	0.0
JX041639	4071.0	1159.0	0.0	0.0	0.0	0.0
DM464569	0.0	0.0	0.0	0.0	2504.0	2718.0
X55404	1786.0	3268.0	9.0	8.0	0.0	0.0
FJ715928	1195.0	1304.0	557.0	359.0	1573.0	68.0
DQ911243	1161.0	858.0	1467.0	1057.0	1860.0	684.0
AB242143	0.0	0.0	2870.0	1581.0	0.0	0.0
AF542232	1196.0	989.0	1379.0	1436.0	1945.0	116.0
AAVP02000040	3102.0	2653.0	0.0	0.0	609.0	263.0
AM230650	3895.0	1942.0	0.0	0.0	24.0	0.0
JF313109	232.0	176.0	118.0	47.0	1524.0	1556.0
HM007586	847.0	862.0	151.0	107.0	645.0	753.0
ARKX01000002	0.0	0.0	1004.0	792.0	1184.0	288.0
AY968205	0.0	0.0	131.0	142.0	1598.0	1330.0
AB547676	0.0	0.0	206.0	181.0	3490.0	151.0
AY974070	0.0	0.0	0.0	0.0	1658.0	1303.0
AM747811	1591.0	1274.0	0.0	0.0	0.0	0.0
CQ889266	2702.0	1196.0	836.0	508.0	0.0	0.0
HM007565	1630.0	1216.0	0.0	0.0	0.0	0.0
JNHN01000179	0.0	0.0	1288.0	742.0	452.0	187.0
AB534168	1515.0	938.0	22.0	18.0	0.0	0.0
AF542231	110.0	50.0	0.0	0.0	1584.0	520.0
AB355613	0.0	0.0	1417.0	737.0	0.0	0.0
AJ132842	0.0	0.0	1270.0	781.0	102.0	19.0
JF342693	83.0	45.0	879.0	626.0	271.0	37.0
AB238928	552.0	289.0	363.0	215.0	374.0	146.0
BAME01000208	0.0	0.0	386.0	515.0	2262.0	82.0
EF025909	844.0	511.0	47.0	13.0	275.0	209.0
AJ867034	1159.0	610.0	0.0	0.0	0.0	0.0
EF031542	0.0	0.0	1081.0	583.0	29.0	8.0
AFUS01000005	279.0	133.0	0.0	0.0	1022.0	242.0
L76601	134.0	95.0	785.0	507.0	66.0	36.0
HM626178	100.0	47.0	705.0	462.0	208.0	55.0
KP091275	1547.0	0.0	0.0	0.0	0.0	0.0
KM225742	99.0	80.0	596.0	389.0	332.0	34.0
ACEP01000116	764.0	423.0	184.0	110.0	0.0	0.0
HE586272	281.0	147.0	608.0	401.0	34.0	0.0
HQ455040	456.0	330.0	241.0	138.0	184.0	106.0
AB439724	707.0	722.0	0.0	0.0	0.0	0.0
