Region	SampleID	exported-evenness-vector	exported-faith-pd-vector	exported-observed-otus-vector	exported-shannon-vector
v2	Patient1-fresh	0.7860302862337584	18.247727384211544	197	5.991163573335834
v2	Patient1-frozen	0.8042041813449478	17.41578691325343	182	6.037799842326979
v2	Patient2-fresh	0.6226825958760115	18.641086051527335	188	4.704110996938608
v2	Patient2-frozen	0.6777568292577877	18.81366407277812	175	5.050109217285875
v2	Patient3-fresh	0.7195431369532068	20.574322658534356	192	5.457707711441341
v2	Patient3-frozen	0.7939176773821728	15.40361781259092	120	5.483502539598287
v3	Patient1-fresh	0.7735883927858768	9.994885976529334	144	5.546570758261034
v3	Patient1-frozen	0.7782940801731503	9.71437137515583	141	5.55667055266419
v3	Patient2-fresh	0.675701858162187	10.78844339689058	160	4.947440419045312
v3	Patient2-frozen	0.6830201625545318	11.326606386439199	181	5.122545956929508
v3	Patient3-fresh	0.6657050146194751	10.295395254706104	151	4.81864233281408
v3	Patient3-frozen	0.7412930311637295	8.737574955601767	118	5.102055328479414
v4	Patient1-fresh	0.7703806264500586	9.51533153721879	153	5.590950992644604
v4	Patient1-frozen	0.7878610489106853	9.646590755570093	158	5.754364361272483
v4	Patient2-fresh	0.6672002282494304	10.329977329370381	162	4.897149597241203
v4	Patient2-frozen	0.7197873749608911	10.809629301923023	156	5.24394053864911
v4	Patient3-fresh	0.7033574758458127	10.716938670476189	166	5.187289118695511
v4	Patient3-frozen	0.7393102689722956	8.783632361017963	114	5.051625754230248
v67	Patient1-fresh	0.7192406621470918	12.14318763657463	174	5.35326760827763
v67	Patient1-frozen	0.759740729989506	13.36852837010037	182	5.703977380555859
v67	Patient2-fresh	0.6385152909556947	15.128155475380417	206	4.907948120545493
v67	Patient2-frozen	0.7007411386178839	13.589100535086535	203	5.371416218496901
v67	Patient3-fresh	0.7462315089732371	12.152209367223428	169	5.522769429465854
v67	Patient3-frozen	0.7330809343537485	10.046431685790042	139	5.218759973201426
v8	Patient1-fresh	0.7578769773396495	8.115304749236723	132	5.338784122368588
v8	Patient1-frozen	0.7677575586364983	8.145966831381621	130	5.391475967978252
v8	Patient2-fresh	0.6385768819555474	9.425251915771646	150	4.6161564995988424
v8	Patient2-frozen	0.6753718645152781	9.11215740096426	136	4.786672993777993
v8	Patient3-fresh	0.6676921099947326	8.915443202034758	135	4.7251339380385025
v8	Patient3-frozen	0.6705023096379994	7.923226397097212	111	4.555671531028814
v9	Patient2-fresh	0.4873565111625869	1.6808291036692702	7	1.3681827004091098
v9	Patient3-fresh	0.14509813330469845	1.3540882771891796	11	0.5019570701595234
v9	Patient3-frozen	0.20713664664477013	1.26281913553815	9	0.6566076349141788
