"Feature","v2.fresh.N","v2.frozen.N","v2.fresh.mean","v2.frozen.mean","v2.tt.log.Pval.fresh.vs.frozen","v3.fresh.N","v3.frozen.N","v3.fresh.mean","v3.frozen.mean","v3.tt.log.Pval.fresh.vs.frozen","v4.fresh.N","v4.frozen.N","v4.fresh.mean","v4.frozen.mean","v4.tt.log.Pval.fresh.vs.frozen","v67.fresh.N","v67.frozen.N","v67.fresh.mean","v67.frozen.mean","v67.tt.log.Pval.fresh.vs.frozen","glm.std.Type.Coef","glm.std.Type.Pval","glm.std.Type.adjPval","glm.log.Type.Coef","glm.log.Type.Pval","glm.log.Type.adjPval"
"Unassigned.p.unassigned.c.unassigned.o.unassigned.f.unassigned.g.unassigned","3","3","24.3137393753292","31.5505586999235","0.21226661166675","3","3","12.7226382941679","14.3909599952423","0.431401825288132","3","3","10.8589797314942","12.7037025920635","0.0998818433760876","3","3","24.453022847454","28.3477330127927","0.174214452525","3.66114351289418","0.0774224291911887",0.726763488335127,"0.0904511976552321","0.0605743958665227",0.68321551465382
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Actinomycetales.f.Actinomycetaceae.g.Actinomyces","3","3","0.104704898373889","0.130237440227506","0.707062803973412","3","3","0.0173131227623123","0.023185344142098","0.184504539027922","3","3","0.143736505825768","0.148188508767575","0.631106394577465","3","3","0.0905477654213465","0.102535251487314","0.657175001492526","0.0119610630602942","0.455891981572987",0.993130938146275,"-0.064403456343107","0.484388873223468",0.836671690113263
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Actinomycetales.f.Actinomycetaceae.g.Mobiluncus","3","3","1.49936396613967","0.628241970199203","0.234140533139602","3","3","0.158918096809099","0.068588393680764","0.422649730810374","3","3","2.23660557268809","0.848184197464013","0.229752704066215","3","3","1.21974223151683","0.533145361705581","0.194083481356787","-0.759117486026032","0.126185605053491",0.726763488335127,"-0.310999025566197","0.0158866438972161",0.68321551465382
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Actinomycetales.f.Actinomycetaceae.g.Varibaculum","3","3","0.10651740876919","0.161523172475608","0.658706772050918","3","3","0.01","0.0106925342042644","0.422649730810374","3","3","0.947802627450089","1.51076872465181","0.230379470188942","3","3","1.10627933135615","1.58886645405419","0.520459100406585","0.27531287945261","0.235653303561416",0.839514893937545,"0.0819081336521624","0.333607499366137",0.8239886997249
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Corynebacteriales.f.Corynebacteriaceae.g.Corynebacterium","3","3","0.01","0.01","NaN","3","3","0.0233855588428478","0.0126316299762045","0.42981147464284","3","3","0.123127866664101","0.0395446737583397","0.382708565761102","3","3","0.136864456320038","0.0515851884531045","0.570592928948974","-0.0449040974098345","0.140252603012042",0.726763488335127,"-0.186649709601262","0.0861614757286408",0.701600588076075
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Corynebacteriales.f.Corynebacteriaceae.g.Corynebacterium_1","3","3","1.64332477783854","2.22216344157237","0.947749907285376","3","3","0.406109625217198","0.425851940752955","0.452598557867064","3","3","1.39102475939731","1.96906400069026","0.877502227136792","3","3","2.35809146104208","2.85443339293165","0.789755764492794","0.418240538113028","0.198635663281633",0.831214331980736,"-0.119434170431604","0.320639903456536",0.8239886997249
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Propionibacteriales.f.Propionibacteriaceae.g.Propionibacterium","3","3","0.0196037686960034","0.0303508112685714","0.70199718009528","3","3","0.01","0.01","NaN","3","3","0.0104101983514128","0.01","0.422649730810374","3","3","0.0344980672938671","0.0296773025963639","0.598572614025126","0.00137901988091298","0.762397341341486",0.993130938146275,"-0.0142685371108701","0.851506357146764",0.981172928994665
"k.Bacteria.p.Actinobacteria.c.Coriobacteriia.o.Coriobacteriales.f.Coriobacteriaceae.g.Adlercreutzia","3","3","0.0246818887975173","0.0285217119171249","0.977321119294992","3","3","0.0125260268886751","0.0129086436579103","0.422649730810374","3","3","0.0360475953147144","0.0423390942045335","0.422649730810374","3","3","0.0743748881800703","0.0640691759280517","0.338318178077833","5.20566316608257e-05","0.997053646159288",0.997053646159288,"-0.0198393610985474","0.815462008858944",0.981172928994665
"k.Bacteria.p.Actinobacteria.c.Coriobacteriia.o.Coriobacteriales.f.Coriobacteriaceae.g.Collinsella","3","3","0.050099191312451","0.0596043194586199","0.274943252062369","3","3","0.21239247631445","0.19082073312678","0.714918322213831","3","3","0.261869793207264","0.224285885314443","0.226266783497094","3","3","0.01","0.01","NaN","-0.0124126307335803","0.775877651597014",0.993130938146275,"-0.00569707701301664","0.96924641663402",0.997539395672497
"k.Bacteria.p.Actinobacteria.c.Coriobacteriia.o.Coriobacteriales.f.Coriobacteriaceae.g.Eggerthella","3","3","0.0752503822531258","0.0579012442403674","0.904741919584761","3","3","0.0196631475679714","0.0116620820902344","0.496471504314525","3","3","0.145472972842533","0.139796035927945","0.751855841097379","3","3","0.251110256556019","0.260610281353941","0.565401493993534","-0.00538177890179037","0.918537714897529",0.993130938146275,"-0.0557916851078781","0.661487218262753",0.942619286024423
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Bacteroidaceae.g.Bacteroides","3","3","12.812365088326","11.5699045336586","0.860599942826317","3","3","10.6081446616175","10.4381817688131","0.996135451759394","3","3","13.5380507675363","11.4837494010679","0.745944155623209","3","3","19.4133146343103","18.7200633508347","0.966585191214243","-1.03999402435396","0.54738352813845",0.993130938146275,"-0.0139496041349933","0.719501008769072",0.976465654758026
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Porphyromonadaceae.g.Parabacteroides","3","3","2.0295433331684","2.44328416653191","0.664748112585116","3","3","1.50838905188428","2.01645471679775","0.585980240517","3","3","1.60268386873924","1.95867408456953","0.601583075083204","3","3","1.84364417386118","1.9599648947703","0.663997866293428","0.348529358754098","0.197832609070591",0.831214331980736,"0.051615087464767","0.326582947187057",0.8239886997249
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Porphyromonadaceae.g.Porphyromonas","3","3","0.0537157505373602","0.116979516175315","0.790898795171298","3","3","0.924647278423612","0.902656045951644","0.505794916878305","3","3","3.6241733162065","5.32965257670681","0.0589424018327815","3","3","0.468653463907635","1.01391339311594","0.154946356973557","0.573002930718648","0.43933814457684",0.993130938146275,"0.155167306351592","0.440931037937759",0.8239886997249
