"Feature","v2.fresh.N","v2.frozen.N","v2.fresh.mean","v2.frozen.mean","v2.tt.log.Pval.fresh.vs.frozen","v3.fresh.N","v3.frozen.N","v3.fresh.mean","v3.frozen.mean","v3.tt.log.Pval.fresh.vs.frozen","v4.fresh.N","v4.frozen.N","v4.fresh.mean","v4.frozen.mean","v4.tt.log.Pval.fresh.vs.frozen","v67.fresh.N","v67.frozen.N","v67.fresh.mean","v67.frozen.mean","v67.tt.log.Pval.fresh.vs.frozen","glm.std.Type.Coef","glm.std.Type.Pval","glm.std.Type.adjPval","glm.log.Type.Coef","glm.log.Type.Pval","glm.log.Type.adjPval"
"Unassigned.p.unassigned.c.unassigned.o.unassigned.f.unassigned.g.unassigned.s.unassigned","3","3","24.3137393753292","31.5505586999235","0.21226661166675","3","3","12.7226382941679","14.3909599952423","0.431401825288132","3","3","10.8589797314942","12.7037025920635","0.0998818433760876","3","3","24.453022847454","28.3477330127927","0.174214452525","3.66114351289418","0.0774224291911887",0.682206807222145,"0.0904511976552321","0.0605743958665227",0.483076564644128
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Actinomycetales.f.Actinomycetaceae.g.Actinomyces.s.Actinomyces_neuii","3","3","0.0843751180606227","0.115719629513362","0.875315018252298","3","3","0.0155094014598001","0.0183818983687249","0.220978623865753","3","3","0.094698289164898","0.112760212804658","0.964092295005521","3","3","0.0538628771929685","0.0722463545464899","0.935016535918155","0.0176656023387363","0.239365125128891",0.994477603962546,"-0.00271097836444791","0.971715365023731",0.997539395672497
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Actinomycetales.f.Actinomycetaceae.g.Actinomyces.s.Actinomyces_radingae","3","3","0.01","0.01","NaN","3","3","0.0118037213025122","0.0124610003272543","0.602654651040345","3","3","0.0344756877635002","0.0305300509761766","0.965256698170686","3","3","0.0295428421511477","0.0188054867966617","0.500767442882248","-0.00350642827926691","0.444203129109193",0.994477603962546,"-0.0398640247021113","0.624879569598767",0.997539395672497
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Actinomycetales.f.Actinomycetaceae.g.Varibaculum.s.Varibaculum_cambriense","3","3","0.10651740876919","0.161523172475608","0.658706772050918","3","3","0.01","0.01","NaN","3","3","0.947802627450089","1.51076872465181","0.230379470188942","3","3","0.0430220735010114","0.0412348582986122","0.826191567763861","0.154046161426434","0.348012369781847",0.994477603962546,"0.0310222607140949","0.80225342976475",0.997539395672497
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Corynebacteriales.f.Corynebacteriaceae.g.Corynebacterium_1.s.Corynebacterium_amycolatum","3","3","0.208323831660928","0.21400488512159","0.406786082787248","3","3","0.29053023884232","0.269264093525736","0.305272902249443","3","3","0.192720119281629","0.200609373319949","0.422486659317522","3","3","0.325728087891762","0.316551567113624","0.283812530775109","-0.00421808964893499","0.894442945564474",0.994477603962546,"-0.214069637922093","0.00341048886698472",0.104588325254198
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Corynebacteriales.f.Corynebacteriaceae.g.Corynebacterium_1.s.Corynebacterium_simulans","3","3","0.01","0.01","NaN","3","3","0.025419965268876","0.0318375527011497","0.97158672422714","3","3","0.01","0.01","NaN","3","3","0.410233684003015","0.382539840678163","0.392628796990827","-0.00531906397314447","0.94552299450839",0.994477603962546,"-0.035140677689112","0.750513421042388",0.997539395672497
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Corynebacteriales.f.Corynebacteriaceae.g.Corynebacterium_1.s.Corynebacterium_striatum","3","3","0.333550976141944","0.408783002639303","0.962819419639878","3","3","0.01","0.01","NaN","3","3","0.265487636478429","0.278794594219415","0.509094260909442","3","3","0.01","0.01","NaN","0.0221347460595864","0.782003559220242",0.994477603962546,"-0.0289471096809991","0.812147594880636",0.997539395672497
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Corynebacteriales.f.Corynebacteriaceae.g.Corynebacterium_1.s.Corynebacterium_tuberculostearicum","3","3","0.991557409760012","1.45459618572119","0.868166061636891","3","3","0.0820794012737535","0.102367201225091","0.756316822030809","3","3","0.864254605891958","1.37240690077119","0.888497016060644","3","3","1.30639070691281","1.73331131587499","0.781228075599767","0.354599869938485","0.119293529697135",0.786589785106731,"-0.0837025978116813","0.480074588097662",0.997539395672497
"k.Bacteria.p.Actinobacteria.c.Coriobacteriia.o.Coriobacteriales.f.Coriobacteriaceae.g.Adlercreutzia.s.Adlercreutzia_equolifaciens","3","3","0.0246818887975173","0.0285217119171249","0.977321119294992","3","3","0.0125260268886751","0.0129086436579103","0.422649730810374","3","3","0.0360475953147144","0.0423390942045335","0.422649730810374","3","3","0.0743748881800703","0.0640691759280517","0.338318178077833","5.20566316608257e-05","0.997053646159288",0.997053646159288,"-0.0198393610985474","0.815462008858944",0.997539395672497
"k.Bacteria.p.Actinobacteria.c.Coriobacteriia.o.Coriobacteriales.f.Coriobacteriaceae.g.Eggerthella.s.Eggerthella_lenta","3","3","0.0314337461472841","0.0515144470275657","0.422649730810374","3","3","0.0196631475679714","0.0116620820902344","0.496471504314525","3","3","0.145472972842533","0.139796035927945","0.751855841097379","3","3","0.251110256556019","0.260610281353941","0.565401493993534","0.00397568082146961","0.941943364844026",0.994477603962546,"-0.0315220647644808","0.819486000280894",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Bacteroidaceae.g.Bacteroides.s.Bacteroides_caccae","3","3","0.963004322011564","1.08669662686283","0.75618569918433","3","3","0.463948587523939","0.715061491769957","0.54598213791795","3","3","1.22586794526118","1.24641411240053","0.891183419257627","3","3","1.73892300897281","2.10351680300831","0.862833562274325","0.189986292568036","0.411785211627919",0.994477603962546,"0.028968631417575","0.892082436088209",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Bacteroidaceae.g.Bacteroides.s.Bacteroides_dorei","3","3","0.529710870615755","0.512640940647493","0.403629992455581","3","3","0.657496228752194","0.622159525112843","0.209132365755574","3","3","0.01","0.01","NaN","3","3","0.782943455410385","0.708056744058166","0.284572711888604","-0.0318233362399574","0.870532123143634",0.994477603962546,"-0.0499290821070076","0.817736619296637",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Bacteroidaceae.g.Bacteroides.s.Bacteroides_fragilis","3","3","1.99405653397414","1.58925147894816","0.776107122722461","3","3","1.47214282873511","1.39370651373302","0.661178017949717","3","3","1.94864919152684","1.59325322754439","0.977929945440377","3","3","2.3252042784142","1.98711095326747","0.71415826435947","-0.294182664789313","0.16585512175206",0.885401980473861,"0.00835273692259398","0.815834779337548",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Bacteroidaceae.g.Bacteroides.s.Bacteroides_ovatus","3","3","0.178324103973015","0.167084001777225","0.379383316609931","3","3","0.264321987236156","0.284533401003349","0.948959247929946","3","3","0.971125364203375","0.784689405967622","0.525900606579703","3","3","0.35107003640912","0.357715023975736","0.699651587765343","-0.0427049147744338","0.824533516073263",0.994477603962546,"-0.0265415386963991","0.808785066498659",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Bacteroidaceae.g.Bacteroides.s.Bacteroides_stercoris","3","3","0.162107009755434","0.135181225370913","0.40869591081442","3","3","0.191811035823251","0.168827971486324","0.204888980975849","3","3","0.153269949445737","0.134722634379846","0.256327862676439","3","3","0.01","0.01","NaN","-0.0171140409468347","0.664619252675337",0.994477603962546,"-0.0917123520307516","0.557604504674535",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Bacteroidaceae.g.Bacteroides.s.Bacteroides_thetaiotaomicron","3","3","0.16345990955722","0.155338525172243","0.213136412879165","3","3","0.559320833537967","0.512906803041308","0.327690550509357","3","3","0.786381884376987","1.46352544724076","0.386754885452004","3","3","2.08949205335354","3.11067484896995","0.589190863508769","0.410947735899637","0.430879177225571",0.994477603962546,"0.0413643215483638","0.885593342354221",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Bacteroidaceae.g.Bacteroides.s.Bacteroides_uniformis","3","3","1.20229922206798","0.801862763350642","0.621144715731313","3","3","1.61385818996299","1.16989512681406","0.455188483691441","3","3","1.17231730488336","0.791949551982842","0.52177590046234","3","3","2.64527000930605","1.89392268932206","0.551313607769627","-0.494028648687695","0.0455977242530938",0.569262418887729,"-0.0746307726623515","0.109038468883203",0.700599729949847
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Bacteroidaceae.g.Bacteroides.s.Bacteroides_vulgatus","3","3","5.88911268981856","5.11173895401282","0.771789204369504","3","3","3.24129686169062","3.1568794543058","0.705260454710218","3","3","5.93384245905877","4.5364822439408","0.961816709427753","3","3","8.42874542357458","7.91875638724967","0.709701611394663","-0.692285098658364","0.549931298749717",0.994477603962546,"0.0430619755560383","0.469658577104583",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Porphyromonadaceae.g.Parabacteroides.s.Parabacteroides_distasonis","3","3","1.14773896930521","1.1295013732264","0.927818309330129","3","3","0.810703473397195","0.785833435233685","0.671532967339817","3","3","0.929565073367512","0.859574710794719","0.762153555309102","3","3","1.33873348476711","1.34783201577848","0.782750167709557","-0.025999866450938","0.74179499599918",0.994477603962546,"0.0190194974760258","0.449430383391889",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Porphyromonadaceae.g.Parabacteroides.s.Parabacteroides_goldsteinii","3","3","0.547784899722292","0.934388353813793","0.995149578371792","3","3","0.39843110127518","0.883810252032475","0.483789416323485","3","3","0.378936359590567","0.756816144525833","0.422649730810374","3","3","0.112692678503637","0.195451191590996","0.422649730810374","0.333155225717855","0.116099560010526",0.786589785106731,"0.0727890580111809","0.327719082147698",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Porphyromonadaceae.g.Parabacteroides.s.Parabacteroides_merdae","3","3","0.299149074003845","0.288689247418203","0.172437359484455","3","3","0.281424140486305","0.281681447439128","0.983685346799028","3","3","0.266785907076222","0.25281133085724","0.657019392489109","3","3","0.381082464448374","0.376371208490424","0.778085360027665","-0.00722208795243774","0.628254309672847",0.994477603962546,"-0.0118647903026396","0.543988720409976",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Porphyromonadaceae.g.Porphyromonas.s.Porphyromonas_asaccharolytica","3","3","0.01","0.01","NaN","3","3","0.01","0.01","NaN","3","3","2.65921403391057","4.27330730214516","0.0135309279574417","3","3","0.0223144851575009","0.0295589167314923","0.454646954546645","0.405334424952147","0.525117856326704",0.994477603962546,"0.0743957138917836","0.557231849178673",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Porphyromonadaceae.g.Porphyromonas.s.Porphyromonas_bennonis","3","3","0.01","0.01","NaN","3","3","0.630303145150212","0.136568996501209","0.562807393876058","3","3","0.592506065534292","0.250656935887463","0.663368384481913","3","3","0.107586309612735","0.29339273415654","0.909591367827817","-0.162444213438007","0.397876065162623",0.994477603962546,"-0.105173915364159","0.664363415164353",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Porphyromonadaceae.g.Porphyromonas.s.Porphyromonas_somerae","3","3","0.0441929295483855","0.116979516175315","0.267459464650094","3","3","0.303632032817391","0.776087049450436","0.219013940588364","3","3","0.392453216761643","0.825688338674193","0.18690896022899","3","3","0.3587526691374","0.710961742227906","0.188621016911467","0.332671449565757","0.0815682052113434",0.682206807222145,"0.201802151870186","0.0495037985587327",0.483076564644128
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Prevotellaceae.g.Prevotella.s.Prevotella_buccalis","3","3","0.798191644530501","0.134330111992754","0.477291593463394","3","3","1.0793247637319","0.199816414790719","0.606356009576465","3","3","0.828841440431391","0.164608358593695","0.552094939066952","3","3","1.30419754811972","0.255003946698682","0.600829701065624","-0.814199141184413","0.0190219874518316",0.569262418887729,"-0.253240501425775","0.0621293003510114",0.483076564644128
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Prevotellaceae.g.Prevotella.s.Prevotella_timonensis","3","3","0.866911169180039","1.57434320732395","0.210706503446859","3","3","1.36142667324455","2.27913011805833","0.227243350066902","3","3","1.31543914443073","1.9955665683005","0.184257878623015","3","3","1.61233049210344","2.84241435565029","0.187442301233259","0.883836692593575","0.000682509737084217",0.062790895811748,"0.158605859650725","0.00132690194038679",0.0610374892577923
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Prevotellaceae.g.Prevotella_6.s.Prevotella_corporis","3","3","7.7015784858575","6.57818225364527","0.422649730810374","3","3","5.25579748586137","3.62585958730503","0.204437671586242","3","3","7.42166891250263","5.480947460253","0.422649730810374","3","3","11.1319003261849","8.30900354405364","0.344665351597851","-1.87923809128737","0.21806613889853",0.958292212308618,"-0.0637923931081321","0.114228216839649",0.700599729949847
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Rikenellaceae.g.Alistipes.s.Alistipes_indistinctus","3","3","0.01","0.01","NaN","3","3","0.0160865291687317","0.0145774787372368","0.205635474275889","3","3","0.0127708077145911","0.0115041439164899","0.447569272442723","3","3","0.0165465621431531","0.0142521779990383","0.189967949520891","-0.00126752459342771","0.292674887198135",0.994477603962546,"-0.0344409414331594","0.315308791967306",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Rikenellaceae.g.Alistipes.s.Alistipes_onderdonkii","3","3","0.156036416831182","0.183656524319812","0.766990725795331","3","3","0.316202817077451","0.310388325663221","0.397605692475477","3","3","0.188529699457922","0.189369277715871","0.570097277462038","3","3","0.01","0.01","NaN","0.00566129858308738","0.926077355714669",0.994477603962546,"-0.00814124085127063","0.958028373222682",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Rikenellaceae.g.Alistipes.s.Alistipes_putredinis","3","3","0.0956574288222476","0.0922833876733962","0.18596034910874","3","3","0.241034806032215","0.232376038919363","0.287363826804411","3","3","0.177938647119998","0.182755149660465","0.184369171090365","3","3","0.222105335644511","0.215133063260132","0.510869157352055","-0.00354714452640377","0.881813019787247",0.994477603962546,"-0.00810901424610837","0.839246723916491",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Rikenellaceae.g.Alistipes.s.Alistipes_shahii","3","3","0.0701961058718943","0.0602818183563452","0.646909951193244","3","3","0.134269342968753","0.112249004373505","0.891512722373402","3","3","0.01","0.01","NaN","3","3","0.01","0.01","NaN","-0.00798365652769908","0.667255570925341",0.994477603962546,"-0.00914623655984802","0.928469550389118",0.997539395672497
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales.f.Rikenellaceae.g.Alistipes.s.unassigned","3","3","0.01","0.01","NaN","3","3","0.01","0.01","NaN","3","3","0.0943830742569476","0.0762053057321168","0.245047178208197","3","3","0.498882833263224","0.50322865730579","0.46238096527909","-0.00345798612056604","0.967333586526005",0.994737301249404,"-0.041391644032166","0.774001519619811",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Bacilli.o.Bacillales.f.Staphylococcaceae.g.Staphylococcus.s.Staphylococcus_epidermidis","3","3","0.0575533207586073","0.0776804186132444","0.797200346512604","3","3","0.100895065854116","0.126374094110126","0.90151836521788","3","3","0.01","0.01","NaN","3","3","0.0497178455020946","0.0618894927595791","0.834037022993794","0.0144444433420329","0.414370327222408",0.994477603962546,"0.00810240546865555","0.942605634994146",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Bacilli.o.Lactobacillales.f.Aerococcaceae.g.Facklamia.s.Facklamia_hominis","3","3","0.0150364897233545","0.020871016855751","0.346706114936442","3","3","0.025683145761396","0.0263936704885101","0.86325320771824","3","3","0.0118458925813577","0.0174028823246998","0.377578497035086","3","3","0.0129817768154325","0.0163890785499936","0.454760803937605","0.00387733583435346","0.0461165896175654",0.569262418887729,"0.0826680834986619","0.0488901552221137",0.483076564644128
"k.Bacteria.p.Firmicutes.c.Bacilli.o.Lactobacillales.f.Streptococcaceae.g.Lactococcus.s.Lactococcus_lactis","3","3","0.0168808487214132","0.01","0.422649730810374","3","3","0.0433127656922456","0.0449466388930926","0.544062035119655","3","3","0.0263392531704435","0.0327536832524765","0.422649730810374","3","3","0.0266432347440665","0.0236974239059183","0.422649730810374","-0.000444589069170373","0.951239447268522",0.994477603962546,"-0.0444088431435809","0.533867669203937",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Bacilli.o.Lactobacillales.f.Streptococcaceae.g.Streptococcus.s.Streptococcus_intermedius","3","3","0.018641356036493","0.0130795356060306","0.285823085978499","3","3","0.01","0.01","NaN","3","3","0.0305653532439277","0.0265235080762032","0.644576264522473","3","3","0.0279974412675236","0.0209466216690298","0.526704469671169","-0.00416362129917017","0.379763459792854",0.994477603962546,"-0.0985738944128727","0.219736202434366",0.96265383923627
"k.Bacteria.p.Firmicutes.c.Bacilli.o.Lactobacillales.f.Streptococcaceae.g.Streptococcus.s.Streptococcus_mitis","3","3","0.0531213603927952","0.01","0.242987062368653","3","3","0.01","0.01","NaN","3","3","0.223891059236359","0.197435314621144","0.593852775266599","3","3","0.0262505701355489","0.012966089126741","0.422649730810374","-0.0207153965042046","0.563685666830324",0.994477603962546,"-0.201046762427085","0.137391997390296",0.790003984994202
"k.Bacteria.p.Firmicutes.c.Bacilli.o.Lactobacillales.f.Streptococcaceae.g.Streptococcus.s.Streptococcus_parasanguinis","3","3","0.0298654291502258","0.0342698294086464","0.716536175328513","3","3","0.0969522827125128","0.102799583371423","0.500110003521945","3","3","0.0889427312211214","0.0942705439047365","0.644958864708648","3","3","0.01","0.01","NaN","0.00389487840023641","0.866264217839559",0.994477603962546,"-0.0754714919572877","0.550967670136304",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Bacilli.o.Lactobacillales.f.Streptococcaceae.g.Streptococcus.s.Streptococcus_salivarius","3","3","0.284714217081024","0.279339800105058","0.514626062770158","3","3","0.930468158243135","1.12277678407928","0.523985614223997","3","3","0.682918791880399","0.827255249908077","0.512768749770613","3","3","0.48293625999143","0.56029569481801","0.511748962799545","0.102157525428609","0.583254247649445",0.994477603962546,"-0.123503050411189","0.0736499417544351",0.521214972416002
"k.Bacteria.p.Firmicutes.c.Bacilli.o.Lactobacillales.f.Streptococcaceae.g.Streptococcus.s.unassigned","3","3","0.01","0.01","NaN","3","3","0.923484783994372","0.825716463804384","0.508616306573382","3","3","0.01","0.01","NaN","3","3","0.234105285410255","0.230143304951182","0.438728810052561","-0.0254325751622653","0.891826730712478",0.994477603962546,"-0.0928456169869598","0.465073998575479",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Anaerococcus.s.Anaerococcus_hydrogenalis","3","3","1.03908162909084","0.78594388081584","0.847560354792119","3","3","1.05587370510076","1.45420191018921","0.739122090460264","3","3","0.01","0.01","NaN","3","3","0.23082588878551","0.316061215968763","0.394361415532954","0.0576064459991777","0.811892353146818",0.994477603962546,"0.0272355324676099","0.882149649818175",0.997539395672497
