"Region"	"SampleID"	"Type"	"PID"	"Taxa"	"Abundance"	"AbundanceFrz"
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"0017c358ab865ee22564cf72384b8f89"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"002dd7ac7d62e0634eb61115f0b4bf91"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"006ed95571653a1ac8d5814cfef21efe"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"00779a28e0fa94ab90db12d766993ee8"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"00786d24be40bad8f6dda908d6a96a52"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"0087e447206dd0394d1d7c61b9b9472f"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"008847636dd2d534ddf8b922f845939e"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"009e6ec5e620cd1b9def53f2f7edd1c5"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"00b8935a0f1568dd1eade356c924ce2d"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"00f74ba4e2465936687969bd5559ebbc"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"01705d9f5c2c3be96817b5b63f25e728"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"01a1814fe8db014390bd85456dbb8ac3"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"01a1c09c5eafa291c6917ee95a12f4c0"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"02bafbc5905eefa62c9222f4dd8d5576"	0.00756808287043987	0.00627920389605247
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"0320d31c2b66b28115ff27b1888920df"	0.001	0.001
"v2"	"Patient1-fresh"	"fresh"	"Patient1"	"03f03d6a97869c91d1a2b2fe2e0cc7ab"	0.001	0.001
