Region	SampleID	Unassigned; p__unassigned; c__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria	k__Bacteria; p__Bacteroidetes; c__Bacteroidia	k__Bacteria; p__DeinococcusThermus; c__Deinococci	k__Bacteria; p__Firmicutes; c__Bacilli	k__Bacteria; p__Firmicutes; c__Clostridia	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
v2	atcc1	0.0891756209265457	8.50691386295579	14.2537872115554	11.8295314426634	22.9456579179144	9.15426281486701	3.78280782103224	5.2613616346662	4.48520345252774	19.6912982208913
v2	atcc2	0.0499297862381027	8.53175222343579	15.710199199043	10.1763145576533	24.0463930930462	9.53658917147761	3.54605502678525	5.06683309928746	4.85775211941541	18.4781817236178
v2	atcc3	1.35653549535298	8.06802452046668	18.3112517302749	8.88273680047459	19.592643859996	9.60648605892822	3.22720980818667	5.28376507810955	7.03579197152462	18.6355546766858
v2	atcc4	3.8105119196397	8.6939093117027	14.3884552807187	8.41566648588743	19.458133886675	10.5567214506355	4.10997665589851	5.14749227758259	5.76764366054375	19.6514890707161
v2	atcc5	0.959262052154394	8.58074811917998	17.1527278466584	10.1134629886186	19.0449467758624	9.77149571225646	4.06678007119934	4.95063395472003	6.35883766199604	19.0011048173544
v3	atcc1	0.854542871763802	1.12718192538282	14.4858109599873	0	42.8022776400035	13.6415369791319	3.99100445156421	3.65846353431264	2.28311674530926	17.1560648925446
v3	atcc2	0.784454890337601	1.14091904640579	14.7164765914079	0	42.2471967892514	13.4032860151515	4.23175546325147	3.59689864496871	2.23018000855514	17.6488325506705
v3	atcc3	0.855269409864107	1.06433526560867	13.3041908201083	0	44.7543476195001	10.229972441319	4.04352370996864	4.57569134277297	2.19994298203934	18.9727264088188
v3	atcc4	0.774910000610165	0.703724042548864	13.2527915064983	0	44.034616714463	12.1575446946122	4.33624178819127	4.3820041898021	2.22710354506071	18.1310635182134
v3	atcc5	0.924237661112858	0.840406580739809	14.3539767368752	0	43.7535366237032	10.6926543015823	3.90024101435607	4.41999371266897	2.24876873100702	18.8661846379545
v4	atcc1	0.0109165198134835	6.01656192005989	20.7842739734573	2.04216895653666	36.4073733293826	10.0174664317016	3.04882803362288	5.20873945386211	3.15019571760523	13.3134756639583
v4	atcc2	0.017449781542158	5.67185014664528	19.9638923751166	1.92954315129632	37.4532714984664	11.1134974060229	2.95773797139578	4.85707957771529	3.50941952630555	12.5262585654937
v4	atcc3	0	6.51047798445962	21.7035554509065	1.1596421003061	32.5465034141747	7.81139627972687	4.385448551919	7.19919943489522	3.0374381916647	15.6463385919473
v4	atcc4	1.69881352706047	5.60085019986041	18.7472241609035	0.929509548886492	35.7845314383605	8.66854894993972	4.41279106655669	6.61442801852674	2.19687837066176	15.3464247192437
v4	atcc5	1.22645641699518	5.65484012264564	20.0306614104249	1.29872974156811	34.5904511607534	8.88961892247043	4.32106876916338	6.37757336837495	2.58650897941305	15.024091108191
v67	atcc1	0.488758047966007	7.23237847603638	24.3009157428683	3.33316963858785	28.1616132375633	20.2753173308796	2.47558148250577	0	3.62239240732077	10.109873636272
v67	atcc2	0.452681864018785	7.16083823431991	22.7448714457113	3.31157025401709	28.0055499532597	22.0220525994244	2.51293639635794	0	4.0818654909206	9.70763376197031
v67	atcc3	3.47497522299306	5.57482656095144	30.1040634291378	2.88032705649158	23.0611992071358	18.7004459861249	2.83696729435084	0	2.1494053518335	11.2177898909812
v67	atcc4	0.219046804141354	4.19953794814751	28.5753401215025	3.89492598613844	27.2216993240353	20.0034226063147	3.49276974416018	0	1.41182510481732	10.9814323607427
v67	atcc5	0.857572987795043	5.71536104091618	31.2704984138932	3.04317436421313	22.361417280499	21.6140652723265	3.02973278133233	0	2.13452336147105	9.97365449755363
v8	atcc1	0.0576948681154489	12.6122461055964	0.0155332337233901	5.98103466130154	30.1788540911579	0.223382694498277	12.0545290471471	7.92490791011435	0.787756853114783	30.1640605352309
v8	atcc2	0.0359985086332138	12.9028940229619	0.0057854746017665	5.59776809246474	29.6152016559314	0.223705017934971	11.7541558992556	8.27322868052609	0.66211542664661	30.9291472210437
v8	atcc3	0.0420875420875421	14.6745230078563	0	6.6638608305275	23.5620089786756	0.0841750841750842	13.1102693602694	9.79236812570146	0.364758698092031	31.705948372615
v8	atcc4	1.42256493776278	13.4761437854187	0	6.477988466588	20.3031259867382	0.829275588719193	14.7773918534891	9.98454456317618	0.314094361258372	32.4148704568494
v8	atcc5	0.947938609690039	13.5179055070719	0	6.84321396328619	22.2991272946133	1.36322600060187	12.7234426722841	9.38007824255191	0.409268733072525	32.5157989768282
v9	atcc1	0.221685580535676	0	0	0	0.00990158920506741	0	0	0	0	99.7684128302593
v9	atcc2	0.331948972149035	0	0	0	0	0	0	0	0	99.668051027851
v9	atcc3	0	0	0	0	0	0	0	0	0	100
v9	atcc4	0.021225413895571	0	0	0	0	0	0	0	0	99.9787745861044
v9	atcc5	0.0566294170945334	0	0	0	0	0	0	0	0	99.9433705829055
