Region	SampleID	Unassigned; p__unassigned; c__unassigned; o__unassigned; f__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae
v2	atcc1	0.0891756209265457	1.923330984675	5.34062885326757	1.24295402501321	10.7043773119605	3.54940989959486	11.8295314426634	5.07970759203805	6.76083318654219	1.66020785626211	4.77364805354941	4.67126122952264	9.15426281486701	3.78280782103224	5.2613616346662	4.48520345252774	7.69662673947507	6.60890435088955	5.38576713052669
v2	atcc2	0.0499297862381027	1.94622145940604	5.36433140895616	1.22119935507359	11.8104748530712	3.89972434597181	10.1763145576533	5.84802621313777	7.04114006345244	2.1209757112394	4.23258958755916	4.80366151765746	9.53658917147761	3.54605502678525	5.06683309928746	4.85775211941541	7.09106984969054	6.24330368752275	5.14380818640454
v2	atcc3	1.35653549535298	1.44354360292664	5.27585525014831	1.34862566739173	15.8196559224837	2.49159580779118	8.88273680047459	5.12952343286534	6.45046470239272	1.96163733438798	4.71030255091952	1.34071583943049	9.60648605892822	3.22720980818667	5.28376507810955	7.03579197152462	7.74767648803639	5.98378485267945	4.90409333596994
v2	atcc4	3.8105119196397	1.6623829847438	5.59786837699545	1.43365794996345	12.5539390223773	1.83451625834139	8.41566648588743	5.26303378999741	6.3901530335542	2.12926501450164	4.29625786979179	1.37942417882997	10.5567214506355	4.10997665589851	5.14749227758259	5.76764366054375	7.78608314272914	6.34299323256856	5.52241269541843
v2	atcc5	0.959262052154394	1.79225926380583	5.26278869929677	1.52570015607737	14.6554898900444	2.497237956614	10.1134629886186	4.68933588201252	6.52894446100696	1.9658734194974	4.24214790523122	1.61864510811427	9.77149571225646	4.06678007119934	4.95063395472003	6.35883766199604	7.97923644845063	5.98004314048717	5.0418252284166
v3	atcc1	0.854542871763802	0.299338169980951	0.497698912695601	0.330144842706263	8.62860673399636	5.85720422599091	0	9.87405205300801	10.8365894274922	3.26139975251973	7.34722029680518	11.4830161101784	13.6415369791319	3.99100445156421	3.65846353431264	2.28311674530926	6.15654239597186	5.21830806330429	5.78121443326847
v3	atcc2	0.784454890337601	0.294287457370393	0.520554541353348	0.326077047682048	9.15516826276901	5.56130832863891	0	10.0747289119311	10.4541002727827	3.4386519343732	6.99908604927854	11.2806296208858	13.4032860151515	4.23175546325147	3.59689864496871	2.23018000855514	6.41705605019015	5.45191473844881	5.77986176203154
v3	atcc3	0.855269409864107	0.337356267224176	0.479901168868194	0.247077829516298	7.4455953625392	5.85859545756913	0	10.7098736101872	11.4035921315214	3.37356267224176	7.33631093794545	11.9310082676043	10.229972441319	4.04352370996864	4.57569134277297	2.19994298203934	6.80889480186259	7.1700085526941	4.99382305426209
v3	atcc4	0.774910000610165	0.204405393861737	0.29593019708341	0.203388451603718	7.57316899546444	5.67962251103382	0	10.1694225801859	10.8975532369272	3.47692558016556	7.0077491000061	12.4829662171782	12.1575446946122	4.33624178819127	4.3820041898021	2.22710354506071	6.54402343034962	6.08538247198324	5.50165761588057
v3	atcc5	0.924237661112858	0.230535471025883	0.358377868594781	0.251493241119145	8.15466834328827	6.19930839358692	0	10.6339725453212	10.57529078906	3.51252226763072	7.34569841768836	11.6860526040029	10.6926543015823	3.90024101435607	4.41999371266897	2.24876873100702	6.65409200461071	6.36906633134234	5.84302630200147
