Region	SampleID	Unassigned; p__unassigned; c__unassigned; o__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales
v2	atcc1	0.0891756209265457	1.923330984675	5.34062885326757	1.24295402501321	14.2537872115554	11.8295314426634	11.8405407785802	11.1051171393342	9.15426281486701	3.78280782103224	5.2613616346662	4.48520345252774	7.69662673947507	11.9946714814162
v2	atcc2	0.0499297862381027	1.94622145940604	5.36433140895616	1.22119935507359	15.710199199043	10.1763145576533	12.8891662765902	11.157226816456	9.53658917147761	3.54605502678525	5.06683309928746	4.85775211941541	7.09106984969054	11.3871118739273
v2	atcc3	1.35653549535298	1.44354360292664	5.27585525014831	1.34862566739173	18.3112517302749	8.88273680047459	11.5799881352581	8.01265572473799	9.60648605892822	3.22720980818667	5.28376507810955	7.03579197152462	7.74767648803639	10.8878781886494
v2	atcc4	3.8105119196397	1.6623829847438	5.59786837699545	1.43365794996345	14.3884552807187	8.41566648588743	11.6531868235516	7.80494706312339	10.5567214506355	4.10997665589851	5.14749227758259	5.76764366054375	7.78608314272914	11.865405927987
v2	atcc5	0.959262052154394	1.79225926380583	5.26278869929677	1.52570015607737	17.1527278466584	10.1134629886186	11.2182803430195	7.82666643284289	9.77149571225646	4.06678007119934	4.95063395472003	6.35883766199604	7.97923644845063	11.0218683689038
v3	atcc1	0.854542871763802	0.299338169980951	0.497698912695601	0.330144842706263	14.4858109599873	0	20.7106414805002	22.0916361595033	13.6415369791319	3.99100445156421	3.65846353431264	2.28311674530926	6.15654239597186	10.9995224965728
v3	atcc2	0.784454890337601	0.294287457370393	0.520554541353348	0.326077047682048	14.7164765914079	0	20.5288291847139	21.7183676045375	13.4032860151515	4.23175546325147	3.59689864496871	2.23018000855514	6.41705605019015	11.2317765004804
v3	atcc3	0.855269409864107	0.337356267224176	0.479901168868194	0.247077829516298	13.3041908201083	0	22.1134657417086	22.6408818777915	10.229972441319	4.04352370996864	4.57569134277297	2.19994298203934	6.80889480186259	12.1638316069562
v3	atcc4	0.774910000610165	0.204405393861737	0.29593019708341	0.203388451603718	13.2527915064983	0	21.0669758171131	22.9676408973498	12.1575446946122	4.33624178819127	4.3820041898021	2.22710354506071	6.54402343034962	11.5870400878638
v3	atcc5	0.924237661112858	0.230535471025883	0.358377868594781	0.251493241119145	14.3539767368752	0	21.2092633343812	22.544273289322	10.6926543015823	3.90024101435607	4.41999371266897	2.24876873100702	6.65409200461071	12.2120926333438
