Region	SampleID	Unassigned; p__unassigned; c__unassigned; o__unassigned; f__unassigned; g__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium_1	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionibacterium	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Family_XI; g__Gemella	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Family_XI; g__Anaerococcus	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Family_XI; g__Ezakiella	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Family_XI; g__Finegoldia	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Family_XI; g__Peptoniphilus	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unassigned	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus_1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Uruburuella	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Cronobacter	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__EscherichiaShigella	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Pectobacterium	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unassigned	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
v2	atcc1	0.0891756209265457	1.923330984675	0	5.34062885326757	0	0	1.24295402501321	10.7043773119605	0	3.54940989959486	11.8295314426634	5.07970759203805	0	6.76083318654219	1.66020785626211	4.77364805354941	4.67126122952264	9.15426281486701	0	0	0	0	0	0	0	0	0	0	3.78280782103224	0	5.2613616346662	0	0	4.48520345252774	0	2.15232517174564	5.54430156772943	0	0	6.60890435088955	5.38576713052669
v2	atcc2	0.0499277088382446	1.94614048409074	0	5.36410821830891	0	0	1.2211485453354	11.8099834614464	0	3.89956209238706	10.1758911575947	5.8477828976794	0	7.04084710679329	2.1208874650246	4.23241348464203	4.80346165447945	9.53619238810472	0	0	0	0	0	0	0	0	0	0	3.54590748811616	0.00416064240318705	5.06662228648103	0	0	4.85755000572088	0	1.95758225069951	5.13319256493202	0	0	6.24304392598217	5.14359417093999
v2	atcc3	1.35653549535298	1.44354360292664	0	5.27585525014831	0	0	1.34862566739173	15.8196559224837	0	2.49159580779118	8.88273680047459	5.12952343286534	0	6.45046470239272	1.96163733438798	4.71030255091952	1.34071583943049	9.60648605892822	0	0	0	0	0	0	0	0	0	0	3.22720980818667	0	5.28376507810955	0	0	7.03579197152462	0	1.91417836662053	5.83349812141586	0	0	5.98378485267945	4.90409333596994
v2	atcc4	3.8105119196397	1.6623829847438	0	5.59786837699545	0	0	1.43365794996345	12.5539390223773	0	1.83451625834139	8.41566648588743	5.26303378999741	0	6.3901530335542	2.12926501450164	4.29625786979179	1.37942417882997	10.5567214506355	0	0	0	0	0	0	0	0	0	0	4.10997665589851	0	5.14749227758259	0	0	5.76764366054375	0	2.05380933292462	5.73227380980452	0	0	6.34299323256856	5.52241269541843
v2	atcc5	0.959262052154394	1.79225926380583	0	5.26278869929677	0	0	1.52570015607737	14.6554898900444	0	2.497237956614	10.1134629886186	4.68933588201252	0	6.52894446100696	1.9658734194974	4.24214790523122	1.61864510811427	9.77149571225646	0	0	0	0	0	0	0	0	0	0	4.06678007119934	0	4.95063395472003	0	0	6.35883766199604	0	2.00270066464409	5.97653578380653	0	0	5.98004314048717	5.0418252284166
v3	atcc1	0.854316239023756	0.299258782706299	0	0.497566918301839	0	0.0013688223337052	0.330057285214666	8.63247804751182	0.00153992512541835	5.85565084079912	0	9.87143336230674	0.00307985025083669	10.8337154629015	3.26053479888578	7.3452717454538	11.4799707072021	13.6379191162883	0.00615970050167339	0.0017110279171315	0.00376426141768929	0.000684411166852598	0	0	0.0020532335005578	0	0	0	3.98994599995894	0	3.65749327566029	0	0	2.28251124145342	0	0	6.15490962350542	0	0	5.21692411933393	5.77968120127848
v3	atcc2	0.784440221494504	0.294281954368766	0	0.5205448072909	0	0	0.32607095023386	9.15499706653016	0	5.56120433545805	0	10.0745405204513	0	10.4539047872825	3.43858763361312	6.99895517050355	11.280418679775	13.4030353816199	0	0	0	0	0	0	0	0	0	0.00186994093324077	4.23167633192387	0	3.59683138508862	0	0	2.23013830550627	0	0	6.41693605503236	0	0	5.45181279086347	5.77975368203057
v3	atcc3	0.854782030582202	0.337164023174091	0	0.479627694937791	0	0	0.24693703105708	7.44135245512394	0	5.85525690948808	0	10.7037705385127	0	11.397093741096	3.37164023174091	7.33213030677177	11.9242093266217	10.2241428435749	0	0	0	0	0	0.0569854687054801	0	0	0	0	4.0412194890303	0	4.57308386361478	0	0	2.19868933421977	0	0	6.80501472124608	0	0	7.16592268971412	4.9909773007883
v3	atcc4	0.774910000610165	0.204405393861737	0	0.29593019708341	0	0	0.203388451603718	7.57316899546444	0	5.67962251103382	0	10.1694225801859	0	10.8975532369272	3.47692558016556	7.0077491000061	12.4829662171782	12.1575446946122	0	0	0	0	0	0	0	0	0	0	4.33624178819127	0	4.3820041898021	0	0	2.22710354506071	0	0	6.54402343034962	0	0	6.08538247198324	5.50165761588057
v3	atcc5	0.924237661112858	0.230535471025883	0	0.358377868594781	0	0	0.251493241119145	8.15466834328827	0	6.19930839358692	0	10.6339725453212	0	10.57529078906	3.51252226763072	7.34569841768836	11.6860526040029	10.6926543015823	0	0	0	0	0	0	0	0	0	0	3.90024101435607	0	4.41999371266897	0	0	2.24876873100702	0	0	6.65409200461071	0	0	6.36906633134234	5.84302630200147
v4	atcc1	0.0109156686626747	1.75508358283433	0	4.02008483033932	0	0	0.240924401197605	12.5288485528942	0	8.25380489021956	2.04200973053892	8.21715943113773	0	10.0205838323353	1.72779441117764	5.96073478043912	10.4782622255489	10.0166853792415	0	0	0	0	0	0	0	0	0	0	3.04859031936128	0.00779690618762475	5.20833333333333	0	0	3.1499500998004	0	0	4.46762724550898	0	0	6.16345434131737	2.68135603792415
