Region	SampleID	032bb217c0b50db5991d99f7adac6ff4	05d7d7145b7fb932e49cd17a55814db5	0b172a1b0a7afa244da9a8c050a9b2b8	102e2e447395673bf8c4ca98900e8502	10e91475c7fdbee9c9ed85edae567b31	12fe040a5a501317c8df824ebda3621c	19788953078393a5a5d0bf59d0dec18c	1a1af578d05240a58afe8334648eb70f	1a901c6d139772d02ade3f877874449c	1c984db3f07ac11e32301be580606a1e	21329a9fb9f21fdc6982e3e419d84d18	2c8e49ac00291e9fcc49db96d07f4801	3122cde6209cce153da1cd3eecea20a6	32a421ca9f8ddbcdbf2ba0dbb67e4e64	363809f5ed2f3a5e7c743859ac3e715c	37f5e2e4e67164d416181bb86deae98a	398c38637a7c07e5ab6e0b383fb47d11	3b54c21dc458aad6bef0b895a008a999	3cd10ac797690f936f8a68438a96b095	3d9f857b40b4e740c6ba5f91a104ce10	3e2f057eac3e7d69d6b2d308797f6b9f	3e6df4097d1697a5b81b3bc42999192d	3fb3fdc0085b803c2ccfc65e4b365684	3fb479f2ab3aaea6df25f479ab5400d6	3fd512ab2543a51a0f6d3e3f5ee0b799	3ff340544e5a36917b5e5c1c8341348a	474d82bb198dcbd4f0a900c734b1737c	4b7a9119a51ad23e913594c78bc5d0e9	4bf1031e00c57c5ea34fde5172fad8c7	4f9d04a909f881fd5010c1fe75d4dd5d	500717d7e7813b2a2475423541fbd0ca	514d0dacc07d312898736303340a5a4d	55a92ea53d21aed54fbe528cd7680830	55f82d0c00f8233e7a6ae504a1c9c3dc	577d99d5d5449ae745797b56778374a3	5b9866c5ee4acad38f12e2d4fdd7ee05	5f61dcc756c010f1f6f0c4fe92eed0b3	61e5978c3211bd9a1b845d0a850b542b	6d83c34c7d5ac72f2cda59a12d2f98bc	70225078828cad07e913173570d57b91	70ef7b2721121d26c44fef7552783c62	71eaea5901a094bdc7e9fe3098433920	75fbfefbdb3937860340ac76fd31068e	76b24b7e85e9d03726097656ac40e520	7a0cd92bee871610e50e9399c8817216	7a9d3c190c1efda5e5d631f26e92089e	7acd47b748c9f1cd32e0a6e17e6d253e	7d4540927d5ded443b27ed24f339ea44	7e080aec24208d91e7a40c1938f2c807	7e68ab40276d313a96d839cdf50cae13	7f0d2e4a156bae073605319a0ce46804	8002fde653b9077c78199d12a92c6d52	815e0dfc845008a7738cf9874285a958	8915c5ee0375ea52fe86793469053973	8ac77091e9e9e898db202290d9f581bb	8adce1d6621160a2af734a787885a122	8be684e96e435a136668f6e2fafe1d05	90ed11c8df9d4009e91687217af6e2d8	941086778c4389c471018174b81335f8	97c7d864680d62abd920734650bd5294	97feb4f035f7d1f624fbab3b6cfb4b3c	9862defc21d8daf9b720d97c7a945a41	9b0828d33517a6fc6957e9e9a1d5156f	9c0a33f32dcd2db6c61d1d60d2c3a3d2	9d7393d1cc1a683bf6257db3c38311ed	9e31be0b73920efb4927da03660c302e	9fde705fd377f224bf31d81a0d9a4ff4	AB050111	AB078819	AB233334	AB238928	AB272346	AB510703	AB510710	AB542764	AB686281	AB819042	AB976552	AB976555	AE000513	AF275881	AF414809	AF468821	AF542229	AHVO01000005	AHVT01000016	AJ234037	AJ234040	AJ239308	AJ239309	AJ510251	AJ577290	AJ867043	AJ867050	ALZP01000053	ANDR01000013	ANDZ01000001	AOAJ01000015	AOAJ01000017	AP013354	APBS01000004	AY366421	AY568492	CP000260	CP001396	CP006777	CP010437	CQ889266	DI249641	DQ269498	DQ420178	EF036467	EU024161	EU136687	EU156766	EU159482	EU239122	EU429939	EU483154	EU722739	FJ611793	FR734081	FR798912	FW305997	GASM01010085	HE586272	HF545616	HG738867	HG799993	HM126553	HM192792	HM216570	HM355702	HQ413678	JBMS01000011	JF313109	JF803601	JILU01000043	JMGV01000069	JN020353	JN175351	JN700236	JN831370	JQ682637	JQ904752	JX029051	JX104001	JX629262	JX678687	KC431798	KF318815	KF372576	KF372582	KF600293	KF928770	KJ776413	KM087103	KM099449	KM405318	KP091275	KP297450	L14327	LM996829	LN611370	LN774482	U16122	Y11332	Y12593	a04ca7d5e614359e02b5a00e877e273a	a074499e60df3ae9999133ba24d9b46a	a0f6fa5f9fe7b6bae4aeba5df3f5d0cb	a5bb29859419795b9e513884d2c20883	abee4cabdc6cab6e99d61c6f6a7f2e7c	adce0f9b69cc86b3eddaf4c3322bf5a9	adde64d2c93efd9271ff9481f0439f40	aedc894ad93f85aea9475de7b68ef7a3	af368b32a2e2ea15248a44edc2540b27	b1322758c90898ee2492814a69d6f576	b1c064401d4a40e2ca32cbb33fc6ddd7	b482e30ae93a015e03f7a9a1c71932b2	b50a16e1ed63ec613fdc7821926e2180	b64b40c12a7e55291797b109d773b550	b73bfc8a5a52231dffee50d662018a95	b87f467e20076f5e9959f2b3258e96bf	be2e775e810dc93a3b4176184e099e90	c3f585b7786688498ab6fd028b25becb	c4b370215eba390323bb84ae8932f79f	c5c2af4b8d31fc0a03c213ab253e6aa2	c6d8833d23569c51e457329500ca2e29	c8c6fd83e79463294ac071a0c2f9b2ea	cc42fdb95b88d0536dab3df1edce46e6	d23cf01e4cdeff7b08968a7adbf8d7c3	d3887916c49ab2456ba41eab98ac6760	d506e63635bba54efcc2d6c7454c1690	d56624e276343bbf65aa2388137b82a0	da17e2e71ac370f03c37f95dfc4a6369	da6081e4e62f61468f6ea348a2fc0ef7	daa183941ea13fb0dc0ea70af8a449a8	db4c8a38081c5ac4b853a89e26b4b424	df44a2c044182914bbcf697c083fe516	e04ae8d3dbba5f8eeae8db2403b0229d	e21259fec2d4e3ea8d1bb57bdb67bbc0	e4127a377fb203e7e2e87bc7ceb2de9f	e67df8898801d736d89b24d52f3bd469	e824a31904d0fed1104925ec12d86dee	ea2abfc0fea5f7065dc48db1cb035309	eae39a17d886f288f6554743ca32681a	ecfae507881cefee6d24f88231d955d1	efbacf2a08a5314019719883ae510da5	f02dde18f93a28b0bbed70663db3e93e	f0bccabde4d9d6698461ff045d4b4793	f83cb5bfdb32d2de301eab855bbdf7f8	f893216ba9df075794a841f325463f39	f90d515ed40349312ef6becf7f934222
v2	atcc1	0	0	0	0	0	0	0	0	0	0	0	0	0.0330280077505725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7043773119605	0	0	0	0	0	0	0	0.377620221948212	0	0	4.77364805354941	0	5.34062885326757	3.54940989959486	3.78280782103224	0	0.525145323234103	0	1.923330984675	0	0	0	0	0	0	0	0	2.88664787740004	0	0	0	0	0	4.48520345252774	0	0	1.0040514356174	0.519640655275674	0	0	0	0.508631319358816	4.70208737008984	0	0	0	0	6.60890435088955	0	0	0	0	0	0	0	0	0	0	0	0.891756209265457	0	3.64078738770477	5.38576713052669	0	0	0	0	0	0	0	0	0	5.2613616346662	0	2.0862691562445	1.14827373612824	0	0	0	0	1.7846133521226	3.76409194997358	0	0	8.63462215959133	0	0.8884534084904	0	0	1.24295402501321	0	0	1.66020785626211	0	0	0	0	0	11.8295314426634	0	0	0	0.0154130702836005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0407345428923727	0	0	0	0	0	0	0	0
v2	atcc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.8099834614464	0	0	0	0	0	0	0	0.370297173883648	0	0	4.23241348464203	0	5.36410821830891	3.89956209238706	3.54590748811616	0	0.514879497394398	0	1.94614048409074	0	0	0	0	0	0	0	0	2.93533321544847	0	0	0	0	0	4.85755000572088	0	0	0.910140525697168	0.526321264003162	0	0	0	0.522160621599975	5.47748572379575	0	0	0	0	6.24304392598217	0	0.00416064240318705	0	0	0	0	0	0	0	0	0	0.862293138060517	0	3.86315647135918	5.14359417093999	0	0	0	0	0	0	0	0	0	5.06662228648103	0	2.14065051643974	1.04744172500234	0	0	0	0	1.86812843903099	3.40444564640781	0	0	9.00987112410156	0	0.866453780463704	0	0	1.2211485453354	0	0	2.1208874650246	0	0	0	0	0	10.1758911575947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00624096360478058	0	0	0	0	0	0	0	0	0	0	0	0.0322449786246997	0	0	0	0	0	0.00312048180239029	0.0083212848063741	0
v2	atcc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26952738777932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.8196559224837	0	0	0	0	0	0	0	0.43108562388768	0	0	4.71030255091952	0	5.27585525014831	2.49159580779118	3.22720980818667	0	0.589282183112517	0	1.44354360292664	0	0	0	0	0	0	0	0	1.12319557049634	0	0	0	0	0	7.03579197152462	0	0	0.897765473600949	0.526003559422583	0	0	0	0	4.69843780897765	0	0	0	0	5.98378485267945	0	0	0	0	0	0	0	0	0	0	0	0.953134269329642	0	3.30630808779909	4.90409333596994	0	0	0	0	0	0	0	0	0	5.28376507810955	0	2.55487443148112	1.01641289301958	0	0	0	0	0.217520268934151	3.90745501285347	0	0	9.08048249950564	0	0.972908839232747	0	0	1.34862566739173	0	0	1.96163733438798	0	0	0	0	0	8.88273680047459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0870081075736603	0	0	0	0	0	0	0	0
v2	atcc4	0	0	0	0	0	0	0	0	0	0	0	0	0.561201631729114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18328656653069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5539390223773	0	0	0	0	0	0	0	0.393784338230093	0	0	4.29625786979179	0	5.59786837699545	1.83451625834139	4.10997665589851	0	0.575349572024806	0	1.6623829847438	0	0	0	0	0	0	0	0	1.15069914404961	0	0	0	0	0	5.76764366054375	0	0	0.954985969959207	0.452734089462142	0	0	0	0.561201631729114	4.86924945176731	0	0	0	0	6.34299323256856	0	0	0	0	0	0	0	0	0	0	0	0.900752198825721	0	3.08425098446085	5.52241269541843	0	0	0	0	0	0	0	0	0	5.14749227758259	0	2.16935084533943	1.09882336296541	0	0	0	0	0.228725034780353	3.84823976042821	0	0	10.1039873611733	0	0.983281850550591	0	0	1.43365794996345	0	0	2.12926501450164	0	0	0	0	0	8.41566648588743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0660237213798958	0	0	0	0	0	0	0	0
v2	atcc5	0	0	0	0	0	0	0	0	0	0	0	0	0.887361240201322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6554898900444	0	0	0	0	0	0	0	0.348981989723445	0	0	4.24214790523122	0	5.26278869929677	2.497237956614	4.06678007119934	0	0.547147642179471	0	1.79225926380583	0	0	0	0	0	0	0	0	1.35910071374708	0	0	0	0	0	6.35883766199604	0	0	1.00836504568332	0.484015221927994	0	0	0	0	4.34035389228908	0	0	0	0	5.98004314048717	0	0	0	0	0	0	0	0	0	0	0	1.00310401066236	0	3.32146677656384	5.0418252284166	0	0	0	0	0	0	0	0	0	4.95063395472003	0	2.66033004226365	0.99433561896077	0	0	0	0	0.259544394367185	3.92823948231415	0	0	9.28748049032846	0	1.04519229083002	0	0	1.52570015607737	0	0	1.9658734194974	0	0	0	0	0	10.1134629886186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0719008119530716	0	0	0	0	0	0	0	0
v3	atcc1	0	0	0	0	0.00188213070884465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00256654187569724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0386692309271718	0	0	0	0	0	0	0	0	0.00256654187569724	0.00153992512541835	0	0	0	0.000855513958565748	9.87143336230674	0	7.3452717454538	0	0	0	5.85565084079912	3.98994599995894	0.00615970050167339	0	0	0.299258782706299	0	3.65749327566029	0	0	0	0	8.62631834701015	3.26053479888578	0	6.11624039257824	0	0.746350377452759	0	0	2.28251124145342	5.21692411933393	0	0	0	0	0	0	0	0	0	0	0	5.36373031462381	0	0	0	0.0017110279171315	0.00530418654310764	0.497566918301839	0	0.000684411166852598	0	0	0	0	0	0	0	0	4.5932544435395	0	0	5.49154410003354	0.0020532335005578	0	0	0	0	0	0.330057285214666	0	0	6.15490962350542	0	0.00376426141768929	0	0	0	5.77968120127848	0	13.6379191162883	0	0	0	0	0	0	0	0	0.00307985025083669	0	0	0.0013688223337052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.811198335512042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v3	atcc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00467485233310193	0	0	0	0	0	10.0745405204513	0	6.99895517050355	0	0	0	5.56120433545805	4.23167633192387	0	0	0	0.294281954368766	0	3.59683138508862	0	0	0	0	9.15499706653016	3.43858763361312	0	6.05790739585013	0	0.71408369388132	0	0	2.23013830550627	5.45181279086347	0	0	0	0	0	0	0	0	0	0	0	5.22251128392482	0	0	0	0	0	0.5205448072909	0	0	0	0	0	0	0	0	0	0	4.39155628171595	0.00186994093324077	0	5.34358995935216	0	0	0	0	0	0	0.32607095023386	0	0	6.41693605503236	0	0	0	0	0	5.77975368203057	0	13.4030353816199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00257116878320606	0.780466597011367	0	0	0	0	0	0	0	0	0	0	0	0	0.00140245569993058	0	0	0
v3	atcc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7037705385127	0	7.33213030677177	0	0	0	5.85525690948808	4.0412194890303	0	0	0	0.337164023174091	0	4.57308386361478	0	0	0	0	7.44135245512394	3.37164023174091	0	6.30164308101434	0	1.01149206952227	0	0	2.19868933421977	7.16592268971412	0	0	0	0	0	0	0	0	0.0569854687054801	0	0	5.62256624560737	0	0	0	0	0	0.479627694937791	0	0	0	0	0	0	0	0	0	0	4.70130116820211	0	0	5.68430050337164	0	0	0	0	0	0	0.24693703105708	0	0	6.80501472124608	0	0	0	0	0	4.9909773007883	0	10.2241428435749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.854782030582202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v3	atcc4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1694225801859	0	7.0077491000061	0	0	0	5.67962251103382	4.33624178819127	0	0	0	0.204405393861737	0	4.3820041898021	0	0	0	0	7.57316899546444	3.47692558016556	0	6.76978461162975	0	0.736266194805459	0	0	2.22710354506071	6.08538247198324	0	0	0	0	0	0	0	0	0	0	0	5.71318160554844	0	0	0	0	0	0.29593019708341	0	0	0	0	0	0	0	0	0	0	4.70945959688409	0	0	5.45182744523766	0	0	0	0	0	0	0.203388451603718	0	0	6.54402343034962	0	0	0	0	0	5.50165761588057	0	12.1575446946122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.774910000610165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v3	atcc5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6339725453212	0	7.34569841768836	0	0	0	6.19930839358692	3.90024101435607	0	0	0	0.230535471025883	0	4.41999371266897	0	0	0	0	8.15466834328827	3.51252226763072	0	6.28104369695064	0	0.802682594571938	0	0	2.24876873100702	6.36906633134234	0	0	0	0	0	0	0	0	0	0	0	5.40500890705229	0	0	0	0	0	0.358377868594781	0	0	0	0	0	0	0	0	0	0	4.56460232631248	0	0	5.20800586817563	0	0	0	0	0	0	0.251493241119145	0	0	6.65409200461071	0	0	0	0	0	5.84302630200147	0	10.6926543015823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.924237661112858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
