# Constructed from biom file
#OTU ID	atcc1	atcc2	atcc3	atcc4	atcc5
HG738867	810.0	829.0	241.0	382.0	572.0
KF372582	7843.0	8662.0	2296.0	4285.0	5296.0
KP297450	1508.0	2039.0	496.0	903.0	1121.0
AY366421	4074.0	4670.0	1779.0	2446.0	3626.0
HM126553	3307.0	3714.0	836.0	1308.0	1894.0
Y11332	10745.0	9783.0	2246.0	3569.0	5767.0
AJ234037	1747.0	1871.0	365.0	705.0	1022.0
AB050111	9723.0	11354.0	4000.0	5324.0	8357.0
KF928770	807.0	833.0	246.0	417.0	596.0
JX678687	1621.0	1796.0	55.0	97.0	148.0
DQ420178	4271.0	5266.0	1188.0	2065.0	2475.0
JN831370	1895.0	2058.0	646.0	920.0	1517.0
AHVO01000005	477.0	495.0	149.0	244.0	312.0
CP001396	912.0	875.0	227.0	405.0	575.0
AB976555	4336.0	4069.0	1191.0	1822.0	2419.0
KM099449	1129.0	1174.0	341.0	608.0	870.0
CP006777	472.0	506.0	133.0	192.0	276.0
HM192792	4892.0	4945.0	1240.0	2342.0	2875.0
AB686281	343.0	356.0	109.0	167.0	199.0
EU159482	6003.0	6002.0	1513.0	2690.0	3410.0
AF275881	4851.0	5157.0	1334.0	2374.0	3001.0
AF414809	3224.0	3749.0	630.0	778.0	1424.0
EU429939	0.0	4.0	0.0	0.0	0.0
JN175351	4779.0	4871.0	1336.0	2183.0	2823.0
KC431798	3419.0	3273.0	988.0	1632.0	2240.0
ANDR01000013	2622.0	2822.0	284.0	488.0	775.0
DQ269498	462.0	502.0	0.0	238.0	0.0
AF468821	3436.0	3409.0	816.0	1743.0	2319.0
JQ682637	1043.0	1007.0	257.0	466.0	567.0
3122cde6209cce153da1cd3eecea20a6	30.0	0.0	0.0	238.0	506.0
8002fde653b9077c78199d12a92c6d52	0.0	0.0	321.0	1350.0	0.0
a0f6fa5f9fe7b6bae4aeba5df3f5d0cb	14.0	0.0	0.0	0.0	0.0
d506e63635bba54efcc2d6c7454c1690	0.0	6.0	0.0	0.0	0.0
ea2abfc0fea5f7065dc48db1cb035309	37.0	31.0	22.0	28.0	41.0
f83cb5bfdb32d2de301eab855bbdf7f8	0.0	3.0	0.0	0.0	0.0
f893216ba9df075794a841f325463f39	0.0	8.0	0.0	0.0	0.0
