Region	SampleID	exported-evenness-vector	exported-faith-pd-vector	exported-observed-otus-vector	exported-shannon-vector
v2	atcc1	0.8773073528350074	3.2702720777279377	31	4.34635285049047
v2	atcc2	0.8845319853038522	3.515405233860673	30	4.340301680202405
v2	atcc3	0.8738940602580426	3.277567358476496	29	4.245360736488441
v2	atcc4	0.8790053124857975	3.287641431459612	31	4.354764875927601
v2	atcc5	0.8748879309999611	3.26593559586761	29	4.250188941664294
v3	atcc1	0.8530462188279708	3.1721405073985594	26	4.009692328389072
v3	atcc2	0.9104957355759316	2.8651666773597286	21	3.9991862827359275
v3	atcc3	0.9083395513129964	3.0086611753443764	22	4.050678115583992
v3	atcc4	0.9130986005208596	2.8651666773597286	21	4.010618891782675
v3	atcc5	0.914721585762568	2.8651666773597286	21	4.017747558136744
v4	atcc1	0.8812825710409825	2.7237151601626928	23	3.9865363108971006
v4	atcc2	0.9041704659232755	2.6645124822490223	21	3.971403690636793
v4	atcc3	0.9048298829482346	2.663534541391612	21	3.9743000595243974
v4	atcc4	0.8184531218233332	2.9031921044267173	31	4.054777436361777
v4	atcc5	0.8458230030689503	2.6979639639713175	27	4.021793226334925
v67	atcc1	0.8234548758244775	4.442826143974344	32	4.117274379122388
v67	atcc2	0.8184179931134533	4.394126480022351	31	4.054603401836902
v67	atcc3	0.8324364371573859	4.106865609817654	30	4.084674524929439
v67	atcc4	0.8113622368668654	4.667693359011029	32	4.056811184334327
v67	atcc5	0.7966953591318687	4.188238758170883	33	4.01884538452497
v8	atcc1	0.8167373753970795	2.7674882268691063	26	3.839024798606744
v8	atcc2	0.8313556483348787	2.5475754274504734	24	3.811734472378144
v8	atcc3	0.8462827245212126	2.534702499750575	21	3.7171423555112
v8	atcc4	0.7588402353814659	2.6617010658868776	33	3.8278892208908517
v8	atcc5	0.7796242432052783	2.6482503429665587	31	3.86241154917575
v9	atcc1	0.29710972434721844	0.9180053067611667	12	1.0651272203843776
v9	atcc2	0.2845874392995099	1.1105974720717628	12	1.0202352980650014
v9	atcc3	0.6319262156757239	0.42270116676684477	3	1.0015793550686523
v9	atcc4	0.6320221225266219	0.27234149275335406	3	1.0017313638308878
v9	atcc5	0.43160177933284777	0.6303392855263028	5	1.002148297236315
